group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category
缺失指示_gee_soil_pH,0.149485,0.14948473804186066,1,['x_missing_gee_soil_pH'],positive,0.404166,missing_signal
缺失指示_Cr_mgkg,0.05963,0.04533923106998759,1,['x_missing_Cr_mgkg'],positive,0.161224,missing_signal
缺失指示_苯并[b]荧蒽,0.054703,0.05470284693310089,1,['x_missing_苯并[b]荧蒽'],positive,0.147902,missing_signal
缺失指示_As_mgkg,0.026443,-0.026442635726010303,1,['x_missing_As_mgkg'],negative,0.071494,missing_signal
缺失指示_Zn_mgkg,0.004863,-0.004862595912299123,1,['x_missing_Zn_mgkg'],negative,0.013147,missing_signal
缺失指示_Cu_mgkg,0.004736,0.0047356794656050645,1,['x_missing_Cu_mgkg'],positive,0.012804,missing_signal
缺失指示_Ni_mgkg,0.004069,-0.004069032805477474,1,['x_missing_Ni_mgkg'],negative,0.011002,missing_signal
缺失指示_二苯并[ah]蒽,0.003948,-0.003948144242264663,1,['x_missing_二苯并[ah]蒽'],negative,0.010675,missing_signal
缺失指示_苯并[k]荧蒽,0.003234,0.003234133163585293,1,['x_missing_苯并[k]荧蒽'],positive,0.008744,missing_signal
"缺失指示_茚并[1,2,3-cd]芘",0.003067,0.003067057074835501,1,"['x_missing_茚并[1,2,3-cd]芘']",positive,0.008292,missing_signal
缺失指示_Cd_mgkg,0.002663,-0.0026632433303789478,1,['x_missing_Cd_mgkg'],negative,0.007201,missing_signal
缺失指示_gee_slope_deg,0.002321,-0.0023212422208870307,1,['x_missing_gee_slope_deg'],negative,0.006276,missing_signal
缺失指示_Pb_mgkg,0.002207,-0.002207118248550312,1,['x_missing_Pb_mgkg'],negative,0.005967,missing_signal
缺失指示_gee_precip_annual_mm,0.001185,0.0011850395048375718,1,['x_missing_gee_precip_annual_mm'],positive,0.003204,missing_signal
缺失指示_CEC_cmolkg,0.001117,-0.0005246661002411495,1,['x_missing_CEC_cmolkg'],negative,0.003021,missing_signal
缺失指示_PFAS_total,0.000808,0.0008080592710608754,1,['x_missing_PFAS_total'],positive,0.002185,missing_signal
缺失指示_有效磷,0.000746,0.0007464824997118673,1,['x_missing_有效磷'],positive,0.002018,missing_signal
缺失指示_gee_temp_mean_c,0.000535,-0.0005345250353979486,1,['x_missing_gee_temp_mean_c'],negative,0.001445,missing_signal
缺失指示_PAHs_total,0.000534,-6.203581694110775e-05,1,['x_missing_PAHs_total'],negative,0.001445,missing_signal
"缺失指示_二苯并[a,h]蒽",0.000507,0.0005069065873345728,1,"['x_missing_二苯并[a,h]蒽']",positive,0.001371,missing_signal
缺失指示_PBDEs_total,0.000476,-0.0004499060756949676,1,['x_missing_PBDEs_total'],negative,0.001286,missing_signal
缺失指示_gee_ndvi,0.000464,-0.00036899189239594777,1,['x_missing_gee_ndvi'],negative,0.001254,missing_signal
缺失指示_Hg_mgkg,0.000342,-0.00034174761030109486,1,['x_missing_Hg_mgkg'],negative,0.000924,missing_signal
缺失指示_PCBs_total,0.000298,0.0002602075200024349,1,['x_missing_PCBs_total'],positive,0.000806,missing_signal
缺失指示_PAEs_total,0.000255,-0.0002530385783968905,1,['x_missing_PAEs_total'],negative,0.000691,missing_signal
缺失指示_gee_aspect_deg,0.000174,0.0001736176275366887,1,['x_missing_gee_aspect_deg'],positive,0.000469,missing_signal
缺失指示_gee_elevation_m,0.000162,0.00016121889617163004,1,['x_missing_gee_elevation_m'],positive,0.000437,missing_signal
缺失指示_SumDDTs_ngg,0.000152,0.00015153050666174162,1,['x_missing_SumDDTs_ngg'],positive,0.00041,missing_signal
缺失指示_SumHCHs_ngg,4.9e-05,-4.864653787369752e-05,1,['x_missing_SumHCHs_ngg'],negative,0.000132,missing_signal
缺失指示_茚并[123-cd]芘,4.6e-05,4.562913213384701e-05,1,['x_missing_茚并[123-cd]芘'],positive,0.000123,missing_signal
缺失指示_钴,7e-06,6.979566196290708e-06,1,['x_missing_钴'],positive,1.9e-05,missing_signal
缺失指示_SoilBD_gcm3,5e-06,-4.630850908117074e-06,1,['x_missing_SoilBD_gcm3'],negative,1.3e-05,missing_signal
缺失指示_锑,0.0,-4.3461514579228495e-07,1,['x_missing_锑'],negative,1e-06,missing_signal
缺失指示_钒,0.0,-8.49029766209648e-09,1,['x_missing_钒'],negative,0.0,missing_signal
缺失指示_BaP_ngg,0.0,0.0,1,['x_missing_BaP_ngg'],positive,0.0,missing_signal
