group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category,contribution_share_normalized
Cu_mgkg,0.027359,0.026319829614756363,1,['x_measured_Cu_mgkg'],positive,0.085145,measured_contribution,0.295728214108135
Pb_mgkg,0.024709,0.022715899101525622,1,['x_measured_Pb_mgkg'],positive,0.076897,measured_contribution,0.26708390081501177
Zn_mgkg,0.02423,0.021053125588971877,1,['x_measured_Zn_mgkg'],positive,0.075406,measured_contribution,0.26190630607259446
Cd_mgkg,0.009595,0.003205632130238863,1,['x_measured_Cd_mgkg'],positive,0.029861,measured_contribution,0.10371403247076118
As_mgkg,0.002017,0.00198223749135044,1,['x_measured_As_mgkg'],positive,0.006278,measured_contribution,0.021802105627256416
Ni_mgkg,0.000838,0.0008333533333498689,1,['x_measured_Ni_mgkg'],positive,0.002609,measured_contribution,0.009058088505523488
OC_pct,0.000821,0.000765192768105965,1,['x_measured_OC_pct'],positive,0.002556,measured_contribution,0.008874332533454396
萘,0.000765,0.0007640905210352691,1,['x_measured_萘'],positive,0.00238,measured_contribution,0.00826901874310915
Cr_mgkg,0.000694,-0.0006935366237412817,1,['x_measured_Cr_mgkg'],negative,0.002158,measured_contribution,0.007501567330350001
速效钾,0.000385,0.0003846631042508851,1,['x_measured_速效钾'],positive,0.001197,measured_contribution,0.00416153230862356
Hg_mgkg,0.000338,-0.0002456364059397344,1,['x_measured_Hg_mgkg'],negative,0.001051,measured_contribution,0.0036535010917266575
SumDDTs_ngg,0.000272,0.0002722716460846932,1,['x_measured_SumDDTs_ngg'],positive,0.000847,measured_contribution,0.002940095553105476
TN_gkg,0.000261,0.0002610520188091829,1,['x_measured_TN_gkg'],positive,0.000812,measured_contribution,0.0028211946300019455
茚并[123-cd]芘,0.000147,-0.00014720162624425365,1,['x_measured_茚并[123-cd]芘'],negative,0.000458,measured_contribution,0.0015889486996562682
苯并[b]荧蒽,4.2e-05,-4.240889954233362e-05,1,['x_measured_苯并[b]荧蒽'],negative,0.000132,measured_contribution,0.00045398534275893377
SoilBD_gcm3,3.8e-05,-3.8003235478349495e-05,1,['x_measured_SoilBD_gcm3'],negative,0.000118,measured_contribution,0.00041074864344855914
钴,2e-06,2.266952414838422e-06,1,['x_measured_钴'],positive,7e-06,measured_contribution,2.1618349655187323e-05
"二苯并[a,h]蒽",1e-06,-5.326919165373752e-07,1,"['x_measured_二苯并[a,h]蒽']",negative,2e-06,measured_contribution,1.0809174827593662e-05
"茚并[1,2,3-cd]芘",0.0,-2.7561101650125424e-07,1,"['x_measured_茚并[1,2,3-cd]芘']",negative,1e-06,measured_contribution,0.0
钒,0.0,1.6086224873396278e-07,1,['x_measured_钒'],positive,1e-06,measured_contribution,0.0
锑,0.0,-1.219806732744996e-07,1,['x_measured_锑'],negative,0.0,measured_contribution,0.0
CEC_cmolkg,0.0,0.0,1,['x_measured_CEC_cmolkg'],positive,0.0,measured_contribution,0.0
EC_mScm,0.0,0.0,1,['x_measured_EC_mScm'],positive,0.0,measured_contribution,0.0
BaP_ngg,0.0,0.0,1,['x_measured_BaP_ngg'],positive,0.0,measured_contribution,0.0
TPH_ngg,0.0,0.0,1,['x_measured_TPH_ngg'],positive,0.0,measured_contribution,0.0
SumHCHs_ngg,0.0,0.0,1,['x_measured_SumHCHs_ngg'],positive,0.0,measured_contribution,0.0
水解性氮,0.0,0.0,1,['x_measured_水解性氮'],positive,0.0,measured_contribution,0.0
有效磷,0.0,0.0,1,['x_measured_有效磷'],positive,0.0,measured_contribution,0.0
坡度,0.0,0.0,1,['x_measured_坡度'],positive,0.0,measured_contribution,0.0
䓛,0.0,0.0,1,['x_measured_䓛'],positive,0.0,measured_contribution,0.0
二苯并[ah]蒽,0.0,0.0,1,['x_measured_二苯并[ah]蒽'],positive,0.0,measured_contribution,0.0
pH,0.0,0.0,1,['x_measured_pH'],positive,0.0,measured_contribution,0.0
ph,0.0,0.0,1,['x_measured_ph'],positive,0.0,measured_contribution,0.0
苯并[k]荧蒽,0.0,0.0,1,['x_measured_苯并[k]荧蒽'],positive,0.0,measured_contribution,0.0
苯并[a]蒽,0.0,0.0,1,['x_measured_苯并[a]蒽'],positive,0.0,measured_contribution,0.0
铍,0.0,0.0,1,['x_measured_铍'],positive,0.0,measured_contribution,0.0
