group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category
缺失指示_gee_soil_pH,0.101979,0.1019788933132411,1,['x_missing_gee_soil_pH'],positive,0.317369,missing_signal
缺失指示_苯并[b]荧蒽,0.037649,0.03764891464231125,1,['x_missing_苯并[b]荧蒽'],positive,0.117167,missing_signal
缺失指示_As_mgkg,0.028927,-0.028927188818984734,1,['x_missing_As_mgkg'],negative,0.090025,missing_signal
缺失指示_Cr_mgkg,0.018096,0.013268912616992227,1,['x_missing_Cr_mgkg'],positive,0.056318,missing_signal
缺失指示_Zn_mgkg,0.008316,-0.008316392956810114,1,['x_missing_Zn_mgkg'],negative,0.025882,missing_signal
缺失指示_Cu_mgkg,0.008192,0.008192125004146162,1,['x_missing_Cu_mgkg'],positive,0.025495,missing_signal
缺失指示_Ni_mgkg,0.005534,-0.005534411734291553,1,['x_missing_Ni_mgkg'],negative,0.017224,missing_signal
缺失指示_二苯并[ah]蒽,0.00432,-0.004320322763757944,1,['x_missing_二苯并[ah]蒽'],negative,0.013445,missing_signal
缺失指示_Pb_mgkg,0.002882,-0.002882092203248693,1,['x_missing_Pb_mgkg'],negative,0.008969,missing_signal
缺失指示_Cd_mgkg,0.002566,-0.0025655371735792487,1,['x_missing_Cd_mgkg'],negative,0.007984,missing_signal
缺失指示_PFAS_total,0.001263,0.001263063761989854,1,['x_missing_PFAS_total'],positive,0.003931,missing_signal
缺失指示_Hg_mgkg,0.001229,-0.0012293345793868006,1,['x_missing_Hg_mgkg'],negative,0.003826,missing_signal
缺失指示_苯并[k]荧蒽,0.001225,0.0012251850430367137,1,['x_missing_苯并[k]荧蒽'],positive,0.003813,missing_signal
缺失指示_gee_slope_deg,0.000663,-9.807952618183845e-05,1,['x_missing_gee_slope_deg'],negative,0.002064,missing_signal
缺失指示_gee_elevation_m,0.000518,0.000477535551978425,1,['x_missing_gee_elevation_m'],positive,0.001611,missing_signal
缺失指示_CEC_cmolkg,0.000495,0.0004938097432138605,1,['x_missing_CEC_cmolkg'],positive,0.001542,missing_signal
缺失指示_PCBs_total,0.000493,-0.0003878789601525933,1,['x_missing_PCBs_total'],negative,0.001535,missing_signal
"缺失指示_茚并[1,2,3-cd]芘",0.000465,2.9922891809459267e-05,1,"['x_missing_茚并[1,2,3-cd]芘']",positive,0.001447,missing_signal
