factor_id,factor_name_norm,track,function_layer,function_layer_weight,indicator_weight,fallback_weight,standard_priority,final_weight,weight_source,weight_version,sensitivity_flag,notes,final_weight_normalized
1,SoilBD_gcm3,production,土壤质量,0.2524,0.1184,,0.5,0.0293638618022864,topic2_direct,v0.7,False,,0.010709090889581482
1,SoilBD_gcm3,ecology,土壤质量,0.4967,0.1658,,0.5,0.0704830233461606,topic2_direct,v0.7,False,,0.020315252700864022
,1112-四氯乙烷,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,1112-四氯乙烷,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,112-三氯乙烷,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,112-三氯乙烷,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,1122-四氯乙烷,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,1122-四氯乙烷,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,12-二氯丙烷,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,12-二氯丙烷,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,12-二氯乙烷,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,12-二氯乙烷,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,123-三氯丙烷,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,123-三氯丙烷,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,12-二溴乙烷,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,12-二溴乙烷,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
