source_file,source_version,source_row_id,track_raw,track_normalized,factor_name_raw,level1_category,scenario,land_use_target,threshold_text,unit,standard_source,standard_level,risk_level,notes,factor_name_norm
20251015_V1.6合并版,V1.6,1,人工牧草地,both,土壤容重,,北方草原区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,2,旱地,both,土壤容重,,北方草原区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,3,旱地,both,土壤容重,,中部山地丘陵区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,4,人工牧草地,both,土壤容重,,中部山地丘陵区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,5,旱地,both,土壤容重,,西南山地丘陵区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,6,人工牧草地,both,土壤容重,,西南山地丘陵区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,7,水浇地,both,土壤容重,,西北干旱区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,8,水浇地,both,土壤容重,,青藏高原区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,9,园地,both,土壤容重,,东北山丘平原区,生产,≤1.45g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,10,有林地,both,土壤容重,,东北山丘平原区,生产,≤1.45g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,11,灌木林地,both,土壤容重,,东北山丘平原区,生产,≤1.45g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,12,其他草地,both,土壤容重,,东北山丘平原区,生产,≤1.45g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,13,园地,both,土壤容重,,黄淮海平原区,生产,≤1.45g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,14,其他草地,both,土壤容重,,黄淮海平原区,生产,≤1.45g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,15,园地,both,土壤容重,,长江中下游平原区,生产,≤1.45g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,16,其他草地,both,土壤容重,,长江中下游平原区,生产,≤1.45g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,17,旱地,both,土壤容重,,东南沿海山地丘陵区,生产,≤1.45g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,18,园地,both,土壤容重,,东南沿海山地丘陵区,生产,≤1.45g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,19,人工牧草地,both,土壤容重,,黄土高原区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,20,水浇地,both,土壤容重,,黄土高原区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,21,人工牧草地,both,土壤容重,,东南沿海山地丘陵区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,22,水田,both,土壤容重,,东南沿海山地丘陵区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,23,水田,both,土壤容重,,东北山丘平原区,生产,≤1.3g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,24,其他林地,both,土壤容重,,西南山地丘陵区,生产,≤1.3g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,25,旱地,both,土壤容重,,东北山丘平原区,生产,≤1.35g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,26,水浇地,both,土壤容重,,黄淮海平原区,生产,≤1.35g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,27,水田,both,土壤容重,,黄淮海平原区,生产,≤1.35g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,28,水浇地,both,土壤容重,,长江中下游平原区,生产,≤1.35g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,29,水田,both,土壤容重,,长江中下游平原区,生产,≤1.35g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,30,水浇地,both,土壤容重,,北方草原区,生产,≤1.35g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,31,其他草地,both,土壤容重,,东南沿海山地丘陵区,生产,≤1.45g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
20251015_V1.6合并版,V1.6,32,水浇地,both,土壤容重,,中部山地丘陵区,生产,≤1.35g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3
