column,missing_pct
DOI,0.32
Source,0.0
Year,54.77
Journal,51.88
Country,26.97
Province,26.44
City,56.05
SiteDescription,73.47
SamplingYear,76.69
SamplingDepth,69.04
LandUseType,44.26
LandUse,87.42
Pollution_Type,15.74
SampleID,64.31
SoilpH,72.82
pH,87.68
pH_merged,70.48
OC_pct,65.31
SoilBD_gcm3,97.69
CEC_cmolkg,71.67
Sand_pct,84.21
Silt_pct,84.7
Clay_pct,85.06
SoilTexture,93.67
SoilType,96.95
Cd_mgkg,44.98
Pb_mgkg,44.09
As_mgkg,59.68
Cu_mgkg,51.4
Zn_mgkg,51.73
Ni_mgkg,70.89
Cr_mgkg,53.69
Hg_mgkg,74.72
A_HCH_ngg,99.79
Ace_mgkg,99.66
Ace_ngg,97.4
Acy_mgkg,99.75
Acy_ngg,99.49
Al_mgkg,98.9
Altitude_m,98.24
Ant_mgkg,99.59
Ant_ngg,99.25
AntiDP_ngg,99.97
BDE209_ngg,99.7
B_HCH_ngg,99.81
BaA_mgkg,99.61
BaA_ngg,99.39
BaP_mgkg,99.56
BaP_ngg,96.29
BaPeq_ngg,99.69
Ba_mgkg,99.6
BbF_mgkg,99.64
BbF_ngg,99.35
BghiP_mgkg,99.61
BghiP_ngg,99.52
BkF_mgkg,99.64
BkF_ngg,99.39
Ca_mgkg,98.81
Chr_mgkg,99.61
Chr_ngg,99.25
Co_mgkg,98.35
Comments,100.0
DBDPE_ngg,99.97
D_HCH_ngg,99.83
DahA_mgkg,99.67
DahA_ngg,99.5
EC_mScm,97.3
Elevation_m,80.4
Fe_mgkg,95.55
Flt_mgkg,99.59
Flt_ngg,99.3
Flu_mgkg,99.63
Flu_ngg,97.32
G_HCH_ngg,99.78
Ga_mgkg,99.96
Glucosinolate_umol_g,100.0
HBB_ngg,99.98
HMWPAH_ngg,99.8
Ind_mgkg,99.64
Ind_ngg,99.55
K_mgkg,98.17
LMWPAH_ngg,99.8
MAP_mm,92.73
Mg_mgkg,99.03
Mn_mgkg,95.91
Nap_mgkg,99.71
Nap_ngg,97.27
Note,100.0
Notes,75.54
PBEB_ngg,100.0
PCB101_ugkg,100.0
PCB118_ugkg,100.0
PCB138_ugkg,100.0
PCB153_ugkg,100.0
PCB180_ugkg,99.99
PCB28_ugkg,100.0
PCB52_ugkg,99.99
P_mgkg,99.86
Phe_mgkg,99.46
Phe_ngg,97.07
Pyr_mgkg,99.49
Pyr_ngg,97.15
References,100.0
Region,77.84
Sb_mgkg,99.66
Se_mgkg,99.68
SiltClay_ratio,99.59
Sn_mgkg,99.91
SoilSource,100.0
Sr_mgkg,99.72
SumAntibiotics_ugkg,99.83
SumDDTs_ngg,97.58
