sample_id,split,fold,split_strategy,split_version
0,train,1,GroupKFold_DOI,v0.7
1,train,1,GroupKFold_DOI,v0.7
2,train,1,GroupKFold_DOI,v0.7
3,train,1,GroupKFold_DOI,v0.7
4,train,1,GroupKFold_DOI,v0.7
5,train,1,GroupKFold_DOI,v0.7
6,train,1,GroupKFold_DOI,v0.7
7,train,1,GroupKFold_DOI,v0.7
8,train,1,GroupKFold_DOI,v0.7
9,train,1,GroupKFold_DOI,v0.7
10,train,1,GroupKFold_DOI,v0.7
11,train,1,GroupKFold_DOI,v0.7
12,train,1,GroupKFold_DOI,v0.7
13,train,1,GroupKFold_DOI,v0.7
14,train,1,GroupKFold_DOI,v0.7
15,train,1,GroupKFold_DOI,v0.7
16,train,1,GroupKFold_DOI,v0.7
17,train,1,GroupKFold_DOI,v0.7
18,train,1,GroupKFold_DOI,v0.7
19,train,1,GroupKFold_DOI,v0.7
20,train,1,GroupKFold_DOI,v0.7
21,train,1,GroupKFold_DOI,v0.7
22,train,1,GroupKFold_DOI,v0.7
23,train,1,GroupKFold_DOI,v0.7
24,train,1,GroupKFold_DOI,v0.7
25,train,1,GroupKFold_DOI,v0.7
26,train,1,GroupKFold_DOI,v0.7
27,train,1,GroupKFold_DOI,v0.7
28,train,1,GroupKFold_DOI,v0.7
29,train,1,GroupKFold_DOI,v0.7
30,train,1,GroupKFold_DOI,v0.7
31,train,1,GroupKFold_DOI,v0.7
32,train,1,GroupKFold_DOI,v0.7
33,train,1,GroupKFold_DOI,v0.7
34,train,1,GroupKFold_DOI,v0.7
35,train,1,GroupKFold_DOI,v0.7
36,train,1,GroupKFold_DOI,v0.7
37,train,1,GroupKFold_DOI,v0.7
38,train,1,GroupKFold_DOI,v0.7
39,train,1,GroupKFold_DOI,v0.7
40,train,1,GroupKFold_DOI,v0.7
41,train,1,GroupKFold_DOI,v0.7
42,train,1,GroupKFold_DOI,v0.7
43,train,1,GroupKFold_DOI,v0.7
44,train,1,GroupKFold_DOI,v0.7
45,train,1,GroupKFold_DOI,v0.7
46,train,1,GroupKFold_DOI,v0.7
47,train,1,GroupKFold_DOI,v0.7
48,train,1,GroupKFold_DOI,v0.7
49,train,1,GroupKFold_DOI,v0.7
50,train,1,GroupKFold_DOI,v0.7
