column,dtype,non_null_count,missing_rate,coverage_pct,example_values,is_numeric,is_candidate_feature
DOI,object,26944,0.0032,99.68,10.1038/s41597-020-00666-2 | https://figshare.com/articles/22785971 | 10.21203/rs.3.rs-28737/v1,False,False
Source,object,27031,0.0,100.0,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment | figshare_22785971_REAL | rs-28737_tea_garden,False,False
Year,float64,12227,0.5477,45.23,2016.0 | 2019.0 | 2017.0,True,True
Journal,object,13007,0.5188,48.12,Research of soil and water conservation | MS | figshare_22785971,False,False
Country,object,19742,0.2697,73.03,China | 中国 | Germany,False,False
Province,object,19885,0.2644,73.56,四川 | 内蒙古 | 甘肃,False,False
City,object,11881,0.5605,43.95,广州/佛山 | 东营黄河三角洲 | Nanchang,False,False
SiteDescription,object,7172,0.7347,26.53,"Sichuan | Southern purple soil region | Tea garden soil (Camellia sinensis), DOI:10.21203/rs.3.rs-28737",False,False
SamplingYear,object,6302,0.7669,23.31,2025.0 | 2022.0 | 2006.0,False,False
SamplingDepth,object,8368,0.6904,30.96,0-20cm | 0-10cm | 10-20cm,False,False
LandUseType,object,15066,0.4426,55.74,其他用地 | 茶园 | 城乡结合部,False,False
LandUse,object,3401,0.8742,12.58,农田 | 城市用地 | 公园绿地,False,False
Pollution_Type,object,22776,0.1574,84.26,HM | PAH | PAH+PCB,False,False
SampleID,object,9648,0.6431,35.69,Duan2016_S1_YellowRiver_0001 | Duan2016_S1_YellowRiver_0003 | Duan2016_S1_YellowRiver_0004,False,False
SoilpH,object,7347,0.7282,27.18,4.62 | 4.77 | 4.3,False,False
pH,float64,3329,0.8768,12.32,6.05 | 5.86 | 6.15,True,True
pH_merged,float64,7980,0.7048,29.52,4.62 | 4.77 | 4.3,True,True
OC_pct,float64,9377,0.6531,34.69,3.55 | 3.84 | 5.61,True,True
SoilBD_gcm3,float64,624,0.9769,2.31,1.16 | 1.18 | 1.44,True,True
CEC_cmolkg,float64,7657,0.7167,28.33,12.66 | 14.3 | 17.63,True,True
Sand_pct,float64,4269,0.8421,15.79,21.05 | 8.0 | 76.0,True,True
Silt_pct,float64,4137,0.847,15.3,74.49 | 67.0 | 23.0,True,True
Clay_pct,float64,4038,0.8506,14.94,20.0 | 8.57 | 8.64000000000001,True,True
SoilTexture,object,1711,0.9367,6.33,Silt loam | Sandy loam | Clay,False,False
SoilType,object,824,0.9695,3.05,Alfisols | yellow brown soil | Red soil,False,False
Cd_mgkg,float64,14872,0.4498,55.02,0.14 | 0.565 | 0.342,True,True
Pb_mgkg,float64,15113,0.4409,55.91,31.2 | 37.5 | 28.6,True,True
As_mgkg,float64,10899,0.5968,40.32,8.7 | 11.9 | 5.8,True,True
Cu_mgkg,float64,13136,0.514,48.6,28.5 | 34.8 | 25.3,True,True
Zn_mgkg,float64,13049,0.5173,48.27,84.3 | 97.6 | 72.8,True,True
Ni_mgkg,float64,7869,0.7089,29.11,35.7 | 40.2 | 30.1,True,True
Cr_mgkg,object,12517,0.5369,46.31,89.6 | 103.4 | 75.6,False,False
Hg_mgkg,float64,6834,0.7472,25.28,0.098 | 0.121 | 0.102,True,True
A_HCH_ngg,float64,58,0.9979,0.21,84.4 | 53.2 | 18040.0,True,True
Ace_mgkg,float64,91,0.9966,0.34,2e-05 | 297.0 | 0.0005,True,True
Ace_ngg,float64,704,0.974,2.6,1.051899675662762 | 2.6059516668822367 | 3.2602841401246,True,True
Acy_mgkg,float64,67,0.9975,0.25,0.13 | 0.0005 | 0.024,True,True
Acy_ngg,float64,137,0.9949,0.51,0.7659035122455695 | 1.0129738303818592 | 1.6330676579911965,True,True
Al_mgkg,float64,296,0.989,1.1,31629.0 | 40529.0 | 18500.0,True,True
Altitude_m,float64,477,0.9824,1.76,600.0 | 1439.0 | 2636.0,True,True
Ant_mgkg,float64,111,0.9959,0.41,0.2 | 323.0 | 0.0005,True,True
Ant_ngg,float64,204,0.9925,0.75,1.729106485486857 | 3.3298327141351773 | 2.934644998837764,True,True
AntiDP_ngg,float64,7,0.9997,0.03,10.8 | 0.89 | 3.06,True,False
BDE209_ngg,float64,80,0.997,0.3,147091.4 | 7495.0 | 22.5,True,True
B_HCH_ngg,float64,52,0.9981,0.19,0.36 | 0.59 | 0.69,True,True
BaA_mgkg,float64,106,0.9961,0.39,0.4 | 102.0 | 0.0005,True,True
BaA_ngg,float64,165,0.9939,0.61,114.0 | 79.0 | 150.0,True,True
BaP_mgkg,float64,118,0.9956,0.44,0.41 | 47.4 | 0.0005,True,True
BaP_ngg,float64,1002,0.9629,3.71,14.15 | 9.89 | 15.2,True,True
BaPeq_ngg,float64,83,0.9969,0.31,50.7 | 159.2 | 36.9,True,True
Ba_mgkg,float64,108,0.996,0.4,496.907 | 0.9593244433492684 | 0.454398048164944,True,True
BbF_mgkg,float64,96,0.9964,0.36,0.73 | 0.076 | 2e-05,True,True
BbF_ngg,float64,177,0.9935,0.65,180.0 | 2630.0 | 9290.0,True,True
BghiP_mgkg,float64,106,0.9961,0.39,0.34 | 0.053 | 4.14,True,True
BghiP_ngg,float64,131,0.9952,0.48,170.0 | 190.0 | 1550.0,True,True
BkF_mgkg,float64,97,0.9964,0.36,0.49 | 47.0 | 0.0005,True,True
BkF_ngg,float64,164,0.9939,0.61,60.0 | 780.0 | 2450.0,True,True
Ca_mgkg,float64,322,0.9881,1.19,7835.0 | 15538.0 | 24938.0,True,True
Chr_mgkg,float64,106,0.9961,0.39,0.54 | 99.1 | 0.0005,True,True
Chr_ngg,float64,203,0.9925,0.75,0.7469447503601463 | 11.143708785028522 | 18.23860845076192,True,True
Co_mgkg,float64,447,0.9835,1.65,2.7 | 11.0 | 9.5,True,True
Comments,float64,0,1.0,0.0,,True,False
DBDPE_ngg,float64,7,0.9997,0.03,14.7 | 3.59 | 7890.0,True,False
D_HCH_ngg,float64,47,0.9983,0.17,0.35 | 0.27 | 5.33,True,True
DahA_mgkg,float64,88,0.9967,0.33,0.55 | 0.0005 | 0.27,True,True
DahA_ngg,float64,135,0.995,0.5,32.0 | 936.0 | 1032.0,True,True
EC_mScm,float64,731,0.973,2.7,0.02 | 0.069 | 0.035,True,True
Elevation_m,float64,5299,0.804,19.6,736.0 | 65.0 | 1275.0,True,True
Fe_mgkg,float64,1204,0.9555,4.45,45200.0 | 43450.0 | 47060.0,True,True
Flt_mgkg,float64,112,0.9959,0.41,1.3 | 0.091 | 0.071,True,True
Flt_ngg,float64,190,0.993,0.7,288.0 | 203.0 | 8900.0,True,True
Flu_mgkg,float64,99,0.9963,0.37,2e-05 | 290.0 | 0.0005,True,True
Flu_ngg,float64,724,0.9732,2.68,4.32400110606958 | 8.957952432941875 | 37.127884655934906,True,True
