column,exclusion_type,reason,coverage_pct
,factor_excluded,"factor_id=auto_有效耕作层厚度, data_role=exclude, 不可用",0.0
,factor_excluded,"factor_id=auto_有效耕作层厚度, data_role=exclude, 不可用",0.0
Year,metadata,非诊断因子(年份/海拔等元数据),45.23
pH,coalesced_duplicate,已被 pH_merged 合并吸收,12.32
Sand_pct,coalesced_duplicate,已被 Sand_pct(已用) 合并吸收,15.79
Silt_pct,coalesced_duplicate,已被 Silt_pct(已用) 合并吸收,15.3
Clay_pct,coalesced_duplicate,已被 Clay_pct(已用) 合并吸收,14.94
A_HCH_ngg,family_absorbed,"HCH 单体,已被 SumHCHs 族群吸收",0.21
Ace_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.34
Ace_ngg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",2.6
Acy_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.25
Acy_ngg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.51
Al_mgkg,context_unmapped,"高覆盖但未进入本轮 formal/extended 映射,作为背景候选待 v0.9 评估",1.1
Altitude_m,metadata,非诊断因子(年份/海拔等元数据),1.76
Ant_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.41
Ant_ngg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.75
BDE209_ngg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.3
B_HCH_ngg,family_absorbed,"HCH 单体,已被 SumHCHs 族群吸收",0.19
BaA_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.39
BaP_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.44
BaPeq_ngg,family_absorbed,"PAH 族群列,已被 PAHs_total family aggregate 吸收",0.31
Ba_mgkg,context_unmapped,"高覆盖但未进入本轮 formal/extended 映射,作为背景候选待 v0.9 评估",0.4
BbF_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.36
BghiP_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.39
BghiP_ngg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.48
BkF_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.36
Ca_mgkg,context_unmapped,"高覆盖但未进入本轮 formal/extended 映射,作为背景候选待 v0.9 评估",1.19
Chr_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.39
D_HCH_ngg,family_absorbed,"HCH 单体,已被 SumHCHs 族群吸收",0.17
DahA_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.33
Elevation_m,metadata,非诊断因子(年份/海拔等元数据),19.6
Fe_mgkg,context_unmapped,"高覆盖但未进入本轮 formal/extended 映射,作为背景候选待 v0.9 评估",4.45
Flt_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.41
Flt_ngg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.7
Flu_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.37
Flu_ngg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",2.68
G_HCH_ngg,family_absorbed,"HCH 单体,已被 SumHCHs 族群吸收",0.22
HMWPAH_ngg,family_absorbed,"PAH 族群列,已被 PAHs_total family aggregate 吸收",0.2
Ind_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.36
LMWPAH_ngg,family_absorbed,"PAH 族群列,已被 PAHs_total family aggregate 吸收",0.2
Mg_mgkg,context_unmapped,"高覆盖但未进入本轮 formal/extended 映射,作为背景候选待 v0.9 评估",0.97
Mn_mgkg,context_unmapped,"高覆盖但未进入本轮 formal/extended 映射,作为背景候选待 v0.9 评估",4.09
Nap_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.29
Phe_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.54
Phe_ngg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",2.93
Pyr_mgkg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",0.51
Pyr_ngg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",2.85
Se_mgkg,context_unmapped,"高覆盖但未进入本轮 formal/extended 映射,作为背景候选待 v0.9 评估",0.32
SiltClay_ratio,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.41
Sr_mgkg,context_unmapped,"高覆盖但未进入本轮 formal/extended 映射,作为背景候选待 v0.9 评估",0.28
SumAntibiotics_ugkg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.17
SumOCP_ngg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.62
