factor_id,factor_name_cn,factor_name_norm,diagnosis_layer,threshold_role,data_role,selected_column,coverage_pct,match_type,evidence_level,track,usable_for_formal_diagnosis,usable_for_extended_screening,usable_as_model_covariate,usable_for_recommended_test,coalesce_rule,unit_standardized,review_status
1,土壤容重,SoilBD_gcm3,formal,direct_standard,measured,SoilBD_gcm3,2.31,exact,B,production,1,1,1,0,,,frozen
auto_1112-四氯乙烷,1112-四氯乙烷,1112-四氯乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_112-三氯乙烷,112-三氯乙烷,112-三氯乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_1122-四氯乙烷,1122-四氯乙烷,1122-四氯乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_12-二氯丙烷,12-二氯丙烷,12-二氯丙烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_12-二氯乙烷,12-二氯乙烷,12-二氯乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_123-三氯丙烷,123-三氯丙烷,123-三氯丙烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_12-二溴乙烷,12-二溴乙烷,12-二溴乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_111-三氯乙烷,111-三氯乙烷,111-三氯乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_12-二氯苯,12-二氯苯,12-二氯苯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
68,钴,钴,formal,direct_standard,measured,Co_mgkg,1.65,alias,A,production,1,1,1,0,,,frozen
70,钒,钒,formal,direct_standard,measured,V_mgkg,0.72,alias,A,production,1,1,1,0,,,frozen
44,铬(六价),Cr6_mgkg,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
42,铬,Cr_mgkg,formal,direct_standard,measured,Cr_mgkg,46.3,exact,A,production,1,1,1,0,,,frozen
66,铍,铍,formal,direct_standard,measured,Be_mgkg,0.02,alias,A,production,1,1,1,0,,,frozen
auto_11-二氯乙烷,11-二氯乙烷,11-二氯乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_11-二氯乙烯,11-二氯乙烯,11-二氯乙烯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
64,锑,锑,formal,direct_standard,measured,Sb_mgkg,0.34,alias,A,production,1,1,1,0,,,frozen
auto_14-二氯苯,14-二氯苯,14-二氯苯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
92,二氯甲烷,二氯甲烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
120,乙苯,乙苯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
106,三氯乙烯,三氯乙烯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
196,七氯,七氯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
152,一溴二氯甲烷,一溴二氯甲烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
156,二溴氯甲烷,二溴氯甲烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
160,六氯环戊二烯,六氯环戊二烯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
170,五氯酚,五氯酚,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_二苯并[ah]蒽,二苯并[ah]蒽,二苯并[ah]蒽,formal,direct_standard,measured,DahA_ngg,0.5,compound_alias,A,production,1,1,1,0,,,frozen
auto_33'445-五氯联苯(PCB126),33'445-五氯联苯(PCB126),33'445-五氯联苯(PCB126),formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_24-二硝基酚,24-二硝基酚,24-二硝基酚,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_24-二硝基甲苯,24-二硝基甲苯,24-二硝基甲苯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_24-二氯酚,24-二氯酚,24-二氯酚,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
134,2-氯酚,2-氯酚,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_246-三氯酚,246-三氯酚,246-三氯酚,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_33'44'55-六氯联苯(PCB169),33'44'55-六氯联苯(PCB169),33'44'55-六氯联苯(PCB169),formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_33'-二氯联苯胺,33'-二氯联苯胺,33'-二氯联苯胺,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
52,铅,Pb_mgkg,formal,direct_standard,measured,Pb_mgkg,55.91,exact,A,production,1,1,1,0,,,frozen
36,砷,As_mgkg,formal,direct_standard,measured,As_mgkg,40.32,exact,A,production,1,1,1,0,,,frozen
40,镉,Cd_mgkg,formal,direct_standard,measured,Cd_mgkg,55.02,exact,B,production,1,1,1,0,,,frozen
72,甲基汞,甲基汞,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
56,汞,Hg_mgkg,formal,direct_standard,measured,Hg_mgkg,25.28,exact,A,production,1,1,1,0,,,frozen
60,镍,Ni_mgkg,formal,direct_standard,measured,Ni_mgkg,29.11,exact,A,production,1,1,1,0,,,frozen
62,锌,Zn_mgkg,formal,direct_standard,measured,Zn_mgkg,48.27,exact,A,production,1,1,1,0,,,frozen
48,铜,Cu_mgkg,formal,direct_standard,measured,Cu_mgkg,48.6,exact,A,production,1,1,1,0,,,frozen
28,有效铜,有效铜,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
29,有效锌,有效锌,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
204,六氯苯,六氯苯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
21,有机质,OC_pct,formal,direct_standard,measured,OC_pct,34.69,exact,B,production,1,1,1,0,,,frozen
31,有效镁,有效镁,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
30,有效锰,有效锰,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
27,有效铁,有效铁,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
26,有效钼,有效钼,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
25,有效钙,有效钙,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
auto_有效耕作层厚度,有效耕作层厚度,有效耕作层厚度,recommended_test,proxy_indicator,exclude,,0.0,missing,A,production,0,0,0,0,,,frozen
24,有效磷,有效磷,recommended_test,proxy_indicator,measured,P_mgkg,0.14,alias,B,production,0,1,1,0,,,frozen
auto_TN_gkg,全氮,TN_gkg,recommended_test,proxy_indicator,measured,TN_gkg,3.66,exact,B,production,0,1,1,0,,,frozen
74,氰化物,氰化物,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
190,敌敌畏,敌敌畏,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
214,二噁英类(总毒性当量),二噁英类(总毒性当量),formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
192,乐果,乐果,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
181,六六六总量,SumHCHs_ngg,supplementary_screening,screening_reference,measured,SumHCHs_ngg,2.22,exact,A,production,0,1,1,0,,,frozen
23,有效硫,有效硫,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
188,滴滴涕,SumDDTs_ngg,supplementary_screening,screening_reference,measured,SumDDTs_ngg,2.42,exact,A,production,0,1,1,0,,,frozen
180,阿特拉津,阿特拉津,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
194,硫丹,硫丹,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
206,灭蚁灵,灭蚁灵,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
"注：
区域定义（含核心管控导向）：
普通绿化区：以基础生态覆盖为核心的绿地，包括道路绿化带、工厂附属绿地、社区外围绿地等，管控重点为土壤基础理化指标（如 pH、有效土层、入渗率），满足植物存活基本需求（依据 CJ/T 340-2016 “普通绿化区” 阈值）；
耐盐碱种植区：受盐碱化影响的特殊绿地，包括滨海绿地、厂区次生盐碱绿地、盐碱地修复绿地等，管控重点为含盐量、交换性钠、钠吸附比等盐害指标（依据 CJ/T 340-2016 耐盐碱相关要求）；
高景观绿化区：兼具景观展示与生态功能的绿地，包括植物园、城市核心花坛、生物滞留池、公园主景观区等，管控重点为肥力指标（如阳离子交换量、有机质、水解性氮等）与景观适配性（如石砾粒径），需满足 CJ/T 340-2016 “高景观绿化区” 必测 / 选测要求；
设施绿化区：非常规场地绿化，包括屋顶绿化、地下顶面绿化、垂直绿化（构筑物壁面）等，管控重点为有效土层厚度（按植物类型区分：乔木≥80cm、灌木≥45cm、草坪≥15cm）、土壤密度（防荷载超限），依据 CJJ 82-2012 设施绿化相关要求；
自然保育区：以生态保护为首要目标的绿地，包括水源涵养林、自然保护区绿地、生态修复核心区等，管控重点为重金属低限值（CJ/T 340-2016 I 级）与原生土壤结构保护，避免人为干预破坏生态平衡；
一类用地绿地：人群高频接触的敏感绿地，包括住宅区内绿地、学校操场绿地、儿童公园、养老院附属绿地等，管控重点为污染物安全阈值（GB 36600-2018 “一类用地筛选值”），防范重金属、挥发性有机物通过接触 / 扬尘影响人体健康；
二类用地绿地：人群低接触或功能性绿地，包括商业街区绿地、工业厂区绿地、仓储区周边绿地等，管控重点为基础生态功能（如滞尘、降噪），污染物指标可按 GB 36600-2018 “二类用地筛选值” 放宽，优先保障植物存活；
污染管控区：潜在 / 历史污染绿地，包括废弃矿地、工业遗留场地修复绿地、污染土壤改良绿地等，管控重点为毒害重金属（砷、镉、铬、铅、汞）与特征污染物（如挥发性卤代烃），需符合 CJ/T 340-2016 IV 级或 GB 36600-2018 对应污染修复限值。
公园绿地指标选取规则：
应用场景中未单独列明的公园绿地，需按功能分区选取阈值：公园内花坛、专类园、生物滞留池等 “高景观功能区”，按 “高景观绿化区” 阈值执行；公园内普通游步道两侧、非景观核心区等 “基础绿化区”，按 “一般绿地” 阈值执行；儿童活动区、老人休憩区等 “人群高频接触区”，需额外符合 “一类用地绿地” 污染物限值。
一般绿地指标取舍规则：
应用场景中明确不含 “一般绿地”（核心场景为基础生态绿化，如道路基础绿化带、社区非景观绿地）的障碍因子时，仅针对非绿化主导功能区域（如绿地内纯硬化配套区、临时堆土区）可不予考虑；若场景涉及植物种植（即使非核心景观），仍需优先保障一般绿地的主控指标（pH、有效土层、入渗率、有机质）达标，避免因指标缺失导致植物生长异常。",发芽指数,发芽指数,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
32,速效钾,速效钾,recommended_test,proxy_indicator,measured,K_mgkg,1.83,alias,B,production,0,1,1,0,,,frozen
22,水解性氮,水解性氮,formal,direct_standard,measured,TN_gkg,3.66,alias,B,production,1,1,1,0,,,frozen
144,䓛,䓛,formal,direct_standard,measured,Chr_ngg,0.75,compound_alias,A,production,1,1,1,0,,,frozen
218,石油烃(C10-C40),TPH_ngg,supplementary_screening,screening_reference,measured,TPH_ngg,0.07,exact,A,production,0,1,1,0,,,frozen
124,甲苯,甲苯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
154,溴仿,溴仿,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
114,氯苯,氯苯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
80,氯甲烷,氯甲烷,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
130,硝基苯,硝基苯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
138,苯并[a]芘,BaP_ngg,supplementary_screening,screening_reference,measured,BaP_ngg,3.71,exact,A,production,0,1,1,0,,,frozen
122,苯乙烯,苯乙烯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
112,苯,苯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
78,氯仿,氯仿,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
208,多氯联苯(总量),多氯联苯(总量),formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
76,四氯化碳,四氯化碳,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
100,四氯乙烯,四氯乙烯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_反-12-二氯乙烯,反-12-二氯乙烯,反-12-二氯乙烯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
216,多溴联苯(总量),多溴联苯(总量),formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
110,氯乙烯,氯乙烯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
182,氯丹,氯丹,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
136,苯并[a]蒽,苯并[a]蒽,formal,direct_standard,measured,BaA_ngg,0.61,compound_alias,A,production,1,1,1,0,,,frozen
auto_pp'-滴滴伊,pp'-滴滴伊,pp'-滴滴伊,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_顺-12-二氯乙烯,顺-12-二氯乙烯,顺-12-二氯乙烯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
auto_pp'-滴滴滴,pp'-滴滴滴,pp'-滴滴滴,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
126,间-二甲苯+对-二甲苯,间-二甲苯+对-二甲苯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
176,邻苯二甲酸二正辛酯,邻苯二甲酸二正辛酯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
172,邻苯二甲酸二(2-乙基己基)酯,邻苯二甲酸二(2-乙基己基)酯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
132,苯胺,苯胺,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
142,苯并[k]荧蒽,苯并[k]荧蒽,formal,direct_standard,measured,BkF_ngg,0.61,compound_alias,A,production,1,1,1,0,,,frozen
auto_茚并[123-cd]芘,茚并[123-cd]芘,茚并[123-cd]芘,formal,direct_standard,measured,Ind_ngg,0.45,compound_alias,A,production,1,1,1,0,,,frozen
140,苯并[b]荧蒽,苯并[b]荧蒽,formal,direct_standard,measured,BbF_ngg,0.65,compound_alias,A,production,1,1,1,0,,,frozen
174,邻苯二甲酸丁基苄酯,邻苯二甲酸丁基苄酯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
128,邻-二甲苯,邻-二甲苯,formal,direct_standard,recommended_test,,0.0,missing,A,production,0,0,0,1,,,frozen
150,萘,萘,formal,direct_standard,measured,Nap_ngg,2.73,compound_alias,A,production,1,1,1,0,,,frozen
6,坡度,坡度,formal,direct_standard,measured,Slope_pct,0.0,alias,B,production,1,0,0,0,,,frozen
4,有效土层,有效土层,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
32,土壤质地,土壤质地,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
11,pH,pH,formal,direct_standard,measured,pH_merged,29.52,coalesced,B,production,1,1,1,0,,,frozen
13,含盐量,EC_mScm,formal,direct_standard,measured,EC_mScm,2.7,exact,B,production,1,1,1,0,,,frozen
17,可溶性硼,可溶性硼,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
16,可溶性氯,可溶性氯,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
14,交换性钠,交换性钠,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
18,钠吸附比,钠吸附比,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
19,阳离子交换量,CEC_cmolkg,formal,direct_standard,measured,CEC_cmolkg,28.33,exact,B,production,1,1,1,0,,,frozen
79,砾石含量,砾石含量,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
10,最大湿密度,最大湿密度,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
7,密度,密度,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
9,孔隙度,孔隙度,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
2,土壤粒径,土壤粒径,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
5,土壤入渗率,土壤入渗率,formal,direct_standard,recommended_test,,0.0,missing,B,production,0,0,0,1,,,frozen
