field,description
sample_id,样本唯一ID
site_id,场地ID(本数据集≈逐样本)
source_id,数据来源ID(GroupKFold分组键)
province,省份
region,区域(当前空)
pollution_type,污染类型
sampling_time,采样时间(当前空)
factor_id,因子ID
factor_name_cn,因子中文名
track,轨道(production/ecology/空)
data_role,数据角色(measured/family_aggregate/proxy_covariate)
value_original,原始值(反推=std)
value_std,标准化值
unit_original,原始单位(空)
unit_std,标准单位(空)
raw_value_text,原始文本(空)
censoring_flag,删失标记(当前空)
detection_limit,检出限(空)
selected_column,选定数据列
source_columns,来源列
is_measured,是否实测
is_family_aggregate,是否族群汇总
is_proxy,是否代理
is_missing,是否缺失(已过滤非缺失)
coverage_pct,覆盖率%
evidence_level,证据等级(A/B/C/D)
reliability_weight,可靠性权重
