feature_name,source_column,data_role,factor_id,factor_name,coverage_pct
x_measured_SoilBD_gcm3,SoilBD_gcm3,measured,1,SoilBD_gcm3,2.31
x_missing_SoilBD_gcm3,,missing_indicator,1,SoilBD_gcm3,100.0
x_measured_钴,Co_mgkg,measured,68,钴,1.65
x_missing_钴,,missing_indicator,68,钴,100.0
x_measured_钒,V_mgkg,measured,70,钒,0.72
x_missing_钒,,missing_indicator,70,钒,100.0
x_measured_Cr_mgkg,Cr_mgkg,measured,42,Cr_mgkg,46.3
x_missing_Cr_mgkg,,missing_indicator,42,Cr_mgkg,100.0
x_measured_铍,Be_mgkg,measured,66,铍,0.02
x_missing_铍,,missing_indicator,66,铍,100.0
x_measured_锑,Sb_mgkg,measured,64,锑,0.34
x_missing_锑,,missing_indicator,64,锑,100.0
x_measured_二苯并[ah]蒽,DahA_ngg,measured,auto_二苯并[ah]蒽,二苯并[ah]蒽,0.5
x_missing_二苯并[ah]蒽,,missing_indicator,auto_二苯并[ah]蒽,二苯并[ah]蒽,100.0
x_measured_Pb_mgkg,Pb_mgkg,measured,52,Pb_mgkg,55.91
x_missing_Pb_mgkg,,missing_indicator,52,Pb_mgkg,100.0
x_measured_As_mgkg,As_mgkg,measured,36,As_mgkg,40.32
x_missing_As_mgkg,,missing_indicator,36,As_mgkg,100.0
x_measured_Cd_mgkg,Cd_mgkg,measured,40,Cd_mgkg,55.02
x_missing_Cd_mgkg,,missing_indicator,40,Cd_mgkg,100.0
x_measured_Hg_mgkg,Hg_mgkg,measured,56,Hg_mgkg,25.28
x_missing_Hg_mgkg,,missing_indicator,56,Hg_mgkg,100.0
x_measured_Ni_mgkg,Ni_mgkg,measured,60,Ni_mgkg,29.11
x_missing_Ni_mgkg,,missing_indicator,60,Ni_mgkg,100.0
x_measured_Zn_mgkg,Zn_mgkg,measured,62,Zn_mgkg,48.27
x_missing_Zn_mgkg,,missing_indicator,62,Zn_mgkg,100.0
x_measured_Cu_mgkg,Cu_mgkg,measured,48,Cu_mgkg,48.6
x_missing_Cu_mgkg,,missing_indicator,48,Cu_mgkg,100.0
x_measured_OC_pct,OC_pct,measured,21,OC_pct,34.69
x_missing_OC_pct,,missing_indicator,21,OC_pct,100.0
x_measured_有效磷,P_mgkg,measured,24,有效磷,0.14
x_missing_有效磷,,missing_indicator,24,有效磷,100.0
x_measured_TN_gkg,TN_gkg,measured,auto_TN_gkg,TN_gkg,3.66
x_missing_TN_gkg,,missing_indicator,auto_TN_gkg,TN_gkg,100.0
x_measured_SumHCHs_ngg,SumHCHs_ngg,measured,181,SumHCHs_ngg,2.22
x_missing_SumHCHs_ngg,,missing_indicator,181,SumHCHs_ngg,100.0
x_measured_SumDDTs_ngg,SumDDTs_ngg,measured,188,SumDDTs_ngg,2.42
x_missing_SumDDTs_ngg,,missing_indicator,188,SumDDTs_ngg,100.0
x_measured_速效钾,K_mgkg,measured,32,速效钾,1.83
x_missing_速效钾,,missing_indicator,32,速效钾,100.0
x_measured_水解性氮,TN_gkg,measured,22,水解性氮,3.66
x_missing_水解性氮,,missing_indicator,22,水解性氮,100.0
x_measured_䓛,Chr_ngg,measured,144,䓛,0.75
x_missing_䓛,,missing_indicator,144,䓛,100.0
x_measured_TPH_ngg,TPH_ngg,measured,218,TPH_ngg,0.07
x_missing_TPH_ngg,,missing_indicator,218,TPH_ngg,100.0
x_measured_BaP_ngg,BaP_ngg,measured,138,BaP_ngg,3.71
x_missing_BaP_ngg,,missing_indicator,138,BaP_ngg,100.0
x_measured_苯并[a]蒽,BaA_ngg,measured,136,苯并[a]蒽,0.61
x_missing_苯并[a]蒽,,missing_indicator,136,苯并[a]蒽,100.0
x_measured_苯并[k]荧蒽,BkF_ngg,measured,142,苯并[k]荧蒽,0.61
x_missing_苯并[k]荧蒽,,missing_indicator,142,苯并[k]荧蒽,100.0
x_measured_茚并[123-cd]芘,Ind_ngg,measured,auto_茚并[123-cd]芘,茚并[123-cd]芘,0.45
x_missing_茚并[123-cd]芘,,missing_indicator,auto_茚并[123-cd]芘,茚并[123-cd]芘,100.0
x_measured_苯并[b]荧蒽,BbF_ngg,measured,140,苯并[b]荧蒽,0.65
x_missing_苯并[b]荧蒽,,missing_indicator,140,苯并[b]荧蒽,100.0
x_measured_萘,Nap_ngg,measured,150,萘,2.73
x_missing_萘,,missing_indicator,150,萘,100.0
x_measured_坡度,Slope_pct,measured,6,坡度,0.0
x_missing_坡度,,missing_indicator,6,坡度,100.0
x_measured_pH,pH_merged,measured,11,pH,29.52
x_missing_pH,,missing_indicator,11,pH,100.0
x_measured_EC_mScm,EC_mScm,measured,13,EC_mScm,2.7
x_missing_EC_mScm,,missing_indicator,13,EC_mScm,100.0
x_measured_CEC_cmolkg,CEC_cmolkg,measured,19,CEC_cmolkg,28.33
x_missing_CEC_cmolkg,,missing_indicator,19,CEC_cmolkg,100.0
"x_measured_二苯并[a,h]蒽",DahA_ngg,measured,146,"二苯并[a,h]蒽",0.5
"x_missing_二苯并[a,h]蒽",,missing_indicator,146,"二苯并[a,h]蒽",100.0
"x_measured_茚并[1,2,3-cd]芘",Ind_ngg,measured,148,"茚并[1,2,3-cd]芘",0.45
"x_missing_茚并[1,2,3-cd]芘",,missing_indicator,148,"茚并[1,2,3-cd]芘",100.0
x_family_PAHs_total,Sum_PAH_ngg,family_aggregate,PAHs_total,PAHs_total,10.26
x_missing_PAHs_total,,missing_indicator,PAHs_total,PAHs_total,100.0
x_family_PCBs_total,SumPCB_ngg,family_aggregate,PCBs_total,PCBs_total,0.81
x_missing_PCBs_total,,missing_indicator,PCBs_total,PCBs_total,100.0
x_family_PBDEs_total,SumPBDE_ngg,family_aggregate,PBDEs_total,PBDEs_total,0.66
x_missing_PBDEs_total,,missing_indicator,PBDEs_total,PBDEs_total,100.0
x_family_PFAS_total,SumPFAS_ngg,family_aggregate,PFAS_total,PFAS_total,0.26
x_missing_PFAS_total,,missing_indicator,PFAS_total,PFAS_total,100.0
x_family_PAEs_total,SumPAE_ugkg,family_aggregate,PAEs_total,PAEs_total,0.42
x_missing_PAEs_total,,missing_indicator,PAEs_total,PAEs_total,100.0
x_proxy_gee_gee_ndvi,gee_ndvi,proxy_covariate,gee_ndvi,gee_ndvi,98.12
x_missing_gee_ndvi,,missing_indicator,gee_ndvi,gee_ndvi,100.0
x_proxy_gee_gee_precip_annual_mm,gee_precip_annual_mm,proxy_covariate,gee_precip_annual_mm,gee_precip_annual_mm,98.12
x_missing_gee_precip_annual_mm,,missing_indicator,gee_precip_annual_mm,gee_precip_annual_mm,100.0
x_proxy_gee_gee_temp_mean_c,gee_temp_mean_c,proxy_covariate,gee_temp_mean_c,gee_temp_mean_c,98.12
x_missing_gee_temp_mean_c,,missing_indicator,gee_temp_mean_c,gee_temp_mean_c,100.0
x_proxy_gee_gee_elevation_m,gee_elevation_m,proxy_covariate,gee_elevation_m,gee_elevation_m,98.12
x_missing_gee_elevation_m,,missing_indicator,gee_elevation_m,gee_elevation_m,100.0
x_proxy_gee_gee_slope_deg,gee_slope_deg,proxy_covariate,gee_slope_deg,gee_slope_deg,98.12
x_missing_gee_slope_deg,,missing_indicator,gee_slope_deg,gee_slope_deg,100.0
x_proxy_gee_gee_aspect_deg,gee_aspect_deg,proxy_covariate,gee_aspect_deg,gee_aspect_deg,98.12
x_missing_gee_aspect_deg,,missing_indicator,gee_aspect_deg,gee_aspect_deg,100.0
x_proxy_gee_gee_soil_pH,gee_soil_pH,proxy_covariate,gee_soil_pH,gee_soil_pH,70.52
x_missing_gee_soil_pH,,missing_indicator,gee_soil_pH,gee_soil_pH,100.0
x_proxy_gee_gee_soc_g_kg,gee_soc_g_kg,proxy_covariate,gee_soc_g_kg,gee_soc_g_kg,70.52
x_missing_gee_soc_g_kg,,missing_indicator,gee_soc_g_kg,gee_soc_g_kg,100.0
x_proxy_gee_gee_cec_cmol_kg,gee_cec_cmol_kg,proxy_covariate,gee_cec_cmol_kg,gee_cec_cmol_kg,70.52
x_missing_gee_cec_cmol_kg,,missing_indicator,gee_cec_cmol_kg,gee_cec_cmol_kg,100.0
x_proxy_gee_gee_clay_pct,gee_clay_pct,proxy_covariate,gee_clay_pct,gee_clay_pct,70.52
x_missing_gee_clay_pct,,missing_indicator,gee_clay_pct,gee_clay_pct,100.0
x_proxy_gee_gee_sand_pct,gee_sand_pct,proxy_covariate,gee_sand_pct,gee_sand_pct,70.52
x_missing_gee_sand_pct,,missing_indicator,gee_sand_pct,gee_sand_pct,100.0
x_proxy_gee_gee_silt_pct,gee_silt_pct,proxy_covariate,gee_silt_pct,gee_silt_pct,70.52
x_missing_gee_silt_pct,,missing_indicator,gee_silt_pct,gee_silt_pct,100.0
x_proxy_gee_gee_bulk_density_g_cm3,gee_bulk_density_g_cm3,proxy_covariate,gee_bulk_density_g_cm3,gee_bulk_density_g_cm3,70.52
x_missing_gee_bulk_density_g_cm3,,missing_indicator,gee_bulk_density_g_cm3,gee_bulk_density_g_cm3,100.0
x_proxy_gee_gee_nitrogen_g_kg,gee_nitrogen_g_kg,proxy_covariate,gee_nitrogen_g_kg,gee_nitrogen_g_kg,70.52
x_missing_gee_nitrogen_g_kg,,missing_indicator,gee_nitrogen_g_kg,gee_nitrogen_g_kg,100.0
