sample_id,site_id,source_id,province,pollution_type,OI_prod_formal,has_obstacle_prod_formal,OI_prod_extended,has_obstacle_prod_extended,OI_eco_formal,has_obstacle_eco_formal,OI_eco_extended,has_obstacle_eco_extended,prod_obstacle_level,eco_obstacle_level,target_version
0,1,10.1038/s41597-020-00666-2,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
1,2,10.1038/s41597-020-00666-2,内蒙古,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
2,3,10.1038/s41597-020-00666-2,甘肃,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
3,4,10.1038/s41597-020-00666-2,内蒙古,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
4,5,10.1038/s41597-020-00666-2,内蒙古,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
5,6,10.1038/s41597-020-00666-2,重庆,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
6,7,10.1038/s41597-020-00666-2,甘肃,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
7,8,10.1038/s41597-020-00666-2,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
8,9,10.1038/s41597-020-00666-2,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
9,10,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
10,11,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
11,12,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
12,13,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
13,14,https://figshare.com/articles/22785971,青海,HM,0.0538,1,0.0538,1,0.0,0,0.0,0,中障碍,无障碍,v0.8_gold
14,15,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
