sample_id,site_id,source_id,province,pollution_type,split,subset,split_strategy,split_version,split_site_group,split_source_group,split_region_holdout,region
6026,6027,10.3389/fenvs.2022.990471,贵州,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6027,10.3389/fenvs.2022.990471,"skipped: province 过多, 本版不强制",
6027,6028,10.3389/fenvs.2022.990471,贵州,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6028,10.3389/fenvs.2022.990471,"skipped: province 过多, 本版不强制",
6028,6029,10.3389/fenvs.2022.990471,贵州,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6029,10.3389/fenvs.2022.990471,"skipped: province 过多, 本版不强制",
6029,6030,10.3389/fenvs.2022.990471,贵州,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6030,10.3389/fenvs.2022.990471,"skipped: province 过多, 本版不强制",
6030,6031,10.3389/fenvs.2022.990471,贵州,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6031,10.3389/fenvs.2022.990471,"skipped: province 过多, 本版不强制",
6031,6032,10.3389/fenvs.2022.1028299,山东,PAH+PCB,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6032,10.3389/fenvs.2022.1028299,"skipped: province 过多, 本版不强制",
6032,6033,10.3389/fenvs.2022.1028299,山东,PAH+PCB,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6033,10.3389/fenvs.2022.1028299,"skipped: province 过多, 本版不强制",
6033,6034,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6034,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6034,6035,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6035,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6035,6036,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6036,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6036,6037,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6037,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6037,6038,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6038,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6038,6039,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6039,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6039,6040,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6040,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6040,6041,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6041,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6041,6042,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6042,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6042,6043,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6043,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6043,6044,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6044,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6044,6045,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6045,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6045,6046,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6046,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6046,6047,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6047,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6047,6048,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6048,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6048,6049,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6049,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6049,6050,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6050,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6050,6051,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6051,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6051,6052,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6052,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6052,6053,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6053,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6053,6054,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6054,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6054,6055,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6055,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6055,6056,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6056,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6056,6057,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6057,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6057,6058,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6058,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6058,6059,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6059,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6059,6060,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6060,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6060,6061,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6061,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6061,6062,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6062,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6062,6063,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6063,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
