factor_id,factor_name_cn,level1_category,unit,factor_type,track_applicable,factor_name_en
1,土壤容重,物理性质,g/cm³,physical,both,
10,土壤容重,物理性质,g/cm³,physical,both,
100,电导率,化学性质,dS/m,chemical,both,
101,电导率,化学性质,dS/m,chemical,both,
102,电导率,化学性质,dS/m,chemical,both,
103,电导率,化学性质,dS/m,chemical,both,
104,电导率,化学性质,dS/m,chemical,both,
105,电导率,化学性质,dS/m,chemical,both,
106,电导率,化学性质,dS/m,chemical,both,
107,电导率,化学性质,dS/m,chemical,both,
108,电导率,化学性质,dS/m,chemical,both,
109,氯乙烯,环境指标,mg/kg,pollutant,both,
11,pH,化学性质,g/cm³,chemical,both,SoilpH
110,氯乙烯,环境指标,mg/kg,pollutant,both,
111,苯,环境指标,mg/kg,pollutant,both,
112,苯,环境指标,mg/kg,pollutant,both,
113,氯苯,环境指标,mg/kg,pollutant,both,
114,氯苯,环境指标,mg/kg,pollutant,both,
115,"1,2-二氯苯",环境指标,mg/kg,pollutant,both,
116,"1,2-二氯苯",环境指标,mg/kg,pollutant,both,
117,"1,4-二氯苯",环境指标,mg/kg,pollutant,both,
118,"1,4-二氯苯",环境指标,mg/kg,pollutant,both,
119,乙苯,环境指标,mg/kg,pollutant,both,
12,含盐量,化学性质,cm,chemical,both,
120,乙苯,环境指标,mg/kg,pollutant,both,
121,苯乙烯,环境指标,mg/kg,pollutant,both,
122,苯乙烯,环境指标,mg/kg,pollutant,both,
123,甲苯,环境指标,mg/kg,pollutant,both,
124,甲苯,环境指标,mg/kg,pollutant,both,
125,镉,环境指标,mg/kg,pollutant,both,Cd_mgkg
126,镉,环境指标,mg/kg,pollutant,both,Cd_mgkg
127,邻-二甲苯,环境指标,mg/kg,pollutant,both,
128,邻-二甲苯,环境指标,mg/kg,pollutant,both,
129,硝基苯,环境指标,mg/kg,pollutant,both,
13,含盐量,化学性质,g/kg,chemical,both,
130,硝基苯,环境指标,mg/kg,pollutant,both,
131,苯胺,环境指标,mg/kg,pollutant,both,
132,苯胺,环境指标,mg/kg,pollutant,both,
133,2-氯酚,环境指标,mg/kg,pollutant,both,
134,2-氯酚,环境指标,mg/kg,pollutant,both,
135,汞,环境指标,mg/kg,pollutant,both,Hg_mgkg
136,汞,环境指标,mg/kg,pollutant,both,Hg_mgkg
137,汞,环境指标,mg/kg,pollutant,both,Hg_mgkg
138,汞,环境指标,mg/kg,pollutant,both,Hg_mgkg
139,汞,环境指标,mg/kg,pollutant,both,Hg_mgkg
14,交换性钠,化学性质,mg/kg,chemical,both,
140,汞,环境指标,mg/kg,pollutant,both,Hg_mgkg
141,砷,环境指标,mg/kg,pollutant,both,As_mgkg
142,砷,环境指标,mg/kg,pollutant,both,As_mgkg
143,䓛,环境指标,mg/kg,pollutant,both,
144,䓛,环境指标,mg/kg,pollutant,both,
145,"二苯并[a,h]蒽",环境指标,mg/kg,pollutant,both,
146,"二苯并[a,h]蒽",环境指标,mg/kg,pollutant,both,
147,砷,环境指标,mg/kg,pollutant,both,As_mgkg
148,砷,环境指标,mg/kg,pollutant,both,As_mgkg
149,萘,环境指标,mg/kg,pollutant,both,
15,可溶性氯,化学性质,g/cm³,chemical,both,
150,萘,环境指标,mg/kg,pollutant,both,
151,一溴二氯甲烷,环境指标,mg/kg,pollutant,both,
152,一溴二氯甲烷,环境指标,mg/kg,pollutant,both,
153,溴仿,环境指标,mg/kg,pollutant,both,
154,溴仿,环境指标,mg/kg,pollutant,both,
155,二溴氯甲烷,环境指标,mg/kg,pollutant,both,
156,二溴氯甲烷,环境指标,mg/kg,pollutant,both,
157,"1,2-二溴乙烷",环境指标,mg/kg,pollutant,both,
158,"1,2-二溴乙烷",环境指标,mg/kg,pollutant,both,
159,六氯环戊二烯,环境指标,mg/kg,pollutant,both,
16,可溶性氯,化学性质,g/cm³,chemical,both,
160,六氯环戊二烯,环境指标,mg/kg,pollutant,both,
161,"2,4-二硝基甲苯",环境指标,mg/kg,pollutant,both,
162,"2,4-二硝基甲苯",环境指标,mg/kg,pollutant,both,
163,"2,4-二氯酚",环境指标,mg/kg,pollutant,both,
164,"2,4-二氯酚",环境指标,mg/kg,pollutant,both,
165,"2,4,6-三氯酚",环境指标,mg/kg,pollutant,both,
166,"2,4,6-三氯酚",环境指标,mg/kg,pollutant,both,
167,"2,4-二硝基酚",环境指标,mg/kg,pollutant,both,
168,"2,4-二硝基酚",环境指标,mg/kg,pollutant,both,
169,五氯酚,环境指标,mg/kg,pollutant,both,
17,可溶性硼,化学性质,,chemical,both,
170,五氯酚,环境指标,mg/kg,pollutant,both,
171,邻苯二甲酸二(2-乙基己基)酯,环境指标,mg/kg,pollutant,both,
172,邻苯二甲酸二(2-乙基己基)酯,环境指标,mg/kg,pollutant,both,
173,邻苯二甲酸丁基苄酯,环境指标,mg/kg,pollutant,both,
174,邻苯二甲酸丁基苄酯,环境指标,mg/kg,pollutant,both,
175,邻苯二甲酸二正辛酯,环境指标,mg/kg,pollutant,both,
176,邻苯二甲酸二正辛酯,环境指标,mg/kg,pollutant,both,
177,"3,3'-二氯联苯胺",环境指标,mg/kg,pollutant,both,
178,"3,3'-二氯联苯胺",环境指标,mg/kg,pollutant,both,
