view,column,role,evidence_level,include,missing_strategy,note
shared,row_uid,id,MEASURED,Y,keep,
shared,dataset_view,metadata,DERIVED,Y,keep,
shared,source_dataset,metadata,DERIVED,Y,keep,
shared,source_file_sha256,metadata,DERIVED,Y,keep,
shared,is_synthetic,metadata,DERIVED,Y,keep,
shared,evidence_level,metadata,DERIVED,Y,keep,
shared,simulation_batch_id,metadata,DERIVED,Y,keep,
shared,generation_rule_version,metadata,DERIVED,Y,keep,
shared,id_DOI,id,MEASURED,Y,keep,
shared,id_Source,id,MEASURED,Y,keep,
shared,id_SampleID,id,MEASURED,Y,keep,
shared,covariate_Province,covariate,MEASURED,Y,keep,
shared,covariate_City,covariate,MEASURED,Y,keep,
shared,covariate_Region,covariate,MEASURED,Y,keep,
shared,covariate_Latitude,covariate,MEASURED,Y,keep,
shared,covariate_Longitude,covariate,MEASURED,Y,keep,
shared,covariate_LandUse,covariate,MEASURED,Y,keep,
shared,covariate_Pollution_Type,covariate,MEASURED,Y,keep,
shared,covariate_SamplingYear,covariate,MEASURED,Y,keep,
shared,covariate_Year,covariate,MEASURED,Y,keep,
shared,covariate_Country,covariate,MEASURED,Y,keep,
shared,covariate_pH_merged,covariate,MEASURED,Y,keep,
shared,covariate_SoilpH,covariate,MEASURED,Y,keep,
shared,covariate_pH,covariate,MEASURED,Y,keep,
shared,covariate_OC_pct,covariate,MEASURED,Y,keep,
shared,covariate_SoilBD_gcm3,covariate,MEASURED,Y,keep,
shared,covariate_CEC_cmolkg,covariate,MEASURED,Y,keep,
shared,covariate_Sand_pct,covariate,MEASURED,Y,keep,
shared,covariate_Silt_pct,covariate,MEASURED,Y,keep,
shared,covariate_Clay_pct,covariate,MEASURED,Y,keep,
shared,covariate_SoilTexture,covariate,MEASURED,Y,keep,
shared,covariate_SoilType,covariate,MEASURED,Y,keep,
shared,covariate_Province_std,covariate,MEASURED,Y,keep,
shared,covariate_LandUse_std,covariate,MEASURED,Y,keep,
shared,covariate_Pollution_Type_std,covariate,MEASURED,Y,keep,
hm,row_uid,id,MEASURED,Y,keep,
hm,dataset_view,metadata,DERIVED,Y,keep,
hm,source_dataset,metadata,DERIVED,Y,keep,
hm,source_file_sha256,metadata,DERIVED,Y,keep,
hm,is_synthetic,metadata,DERIVED,Y,keep,
hm,evidence_level,metadata,DERIVED,Y,keep,
hm,simulation_batch_id,metadata,DERIVED,Y,keep,
hm,generation_rule_version,metadata,DERIVED,Y,keep,
hm,id_DOI,id,MEASURED,Y,keep,
hm,id_Source,id,MEASURED,Y,keep,
hm,id_SampleID,id,MEASURED,Y,keep,
hm,covariate_Province,covariate,MEASURED,Y,keep,
hm,covariate_City,covariate,MEASURED,Y,keep,
hm,covariate_Region,covariate,MEASURED,Y,keep,
hm,covariate_Latitude,covariate,MEASURED,Y,keep,
hm,covariate_Longitude,covariate,MEASURED,Y,keep,
hm,covariate_LandUse,covariate,MEASURED,Y,keep,
hm,covariate_Pollution_Type,covariate,MEASURED,Y,keep,
hm,covariate_SamplingYear,covariate,MEASURED,Y,keep,
hm,covariate_Year,covariate,MEASURED,Y,keep,
hm,covariate_Country,covariate,MEASURED,Y,keep,
hm,covariate_pH_merged,covariate,MEASURED,Y,keep,
hm,covariate_SoilpH,covariate,MEASURED,Y,keep,
hm,covariate_pH,covariate,MEASURED,Y,keep,
hm,covariate_OC_pct,covariate,MEASURED,Y,keep,
hm,covariate_SoilBD_gcm3,covariate,MEASURED,Y,keep,
hm,covariate_CEC_cmolkg,covariate,MEASURED,Y,keep,
hm,covariate_Sand_pct,covariate,MEASURED,Y,keep,
hm,covariate_Silt_pct,covariate,MEASURED,Y,keep,
hm,covariate_Clay_pct,covariate,MEASURED,Y,keep,
hm,covariate_SoilTexture,covariate,MEASURED,Y,keep,
hm,covariate_SoilType,covariate,MEASURED,Y,keep,
hm,covariate_Province_std,covariate,MEASURED,Y,keep,
hm,covariate_LandUse_std,covariate,MEASURED,Y,keep,
hm,covariate_Pollution_Type_std,covariate,MEASURED,Y,keep,
hm,measured_Cd_mgkg,measured,MEASURED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,missing_Cd_mgkg,missing_indicator,DERIVED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,measured_Pb_mgkg,measured,MEASURED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,missing_Pb_mgkg,missing_indicator,DERIVED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,measured_As_mgkg,measured,MEASURED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,missing_As_mgkg,missing_indicator,DERIVED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,measured_Cu_mgkg,measured,MEASURED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,missing_Cu_mgkg,missing_indicator,DERIVED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,measured_Zn_mgkg,measured,MEASURED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,missing_Zn_mgkg,missing_indicator,DERIVED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,measured_Ni_mgkg,measured,MEASURED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,missing_Ni_mgkg,missing_indicator,DERIVED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,measured_Cr_mgkg,measured,MEASURED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,missing_Cr_mgkg,missing_indicator,DERIVED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,measured_Hg_mgkg,measured,MEASURED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
hm,missing_Hg_mgkg,missing_indicator,DERIVED,Y,keep,未观测值保留为空; 下游训练只允许 train 内插补
op,row_uid,id,MEASURED,Y,keep,
op,dataset_view,metadata,DERIVED,Y,keep,
op,source_dataset,metadata,DERIVED,Y,keep,
op,source_file_sha256,metadata,DERIVED,Y,keep,
op,is_synthetic,metadata,DERIVED,Y,keep,
op,evidence_level,metadata,DERIVED,Y,keep,
op,simulation_batch_id,metadata,DERIVED,Y,keep,
op,generation_rule_version,metadata,DERIVED,Y,keep,
op,id_DOI,id,MEASURED,Y,keep,
op,id_Source,id,MEASURED,Y,keep,
op,id_SampleID,id,MEASURED,Y,keep,
op,covariate_Province,covariate,MEASURED,Y,keep,
op,covariate_City,covariate,MEASURED,Y,keep,
op,covariate_Region,covariate,MEASURED,Y,keep,
op,covariate_Latitude,covariate,MEASURED,Y,keep,
op,covariate_Longitude,covariate,MEASURED,Y,keep,
op,covariate_LandUse,covariate,MEASURED,Y,keep,
op,covariate_Pollution_Type,covariate,MEASURED,Y,keep,
op,covariate_SamplingYear,covariate,MEASURED,Y,keep,
