ID,DOI,Source,Year,镉,铅,砷,铜,锌,镍,铬,汞,超标因子数,标签
1,10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment,,,31.2,8.7,28.5,84.3,35.7,89.6,0.098,0,0
2,10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment,,,37.5,11.9,34.8,97.6,40.2,103.4,0.121,0,0
3,10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment,,,28.6,5.8,25.3,72.8,30.1,75.6,0.102,0,0
4,10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment,,,35.1,11.2,38.0,88.4,38.7,90.3,0.088,0,0
5,10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment,,,40.9,8.3,42.6,100.2,43.6,82.7,0.145,0,0
6,10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment,,,32.0,14.6,22.9,95.7,27.4,105.2,0.051,0,0
7,10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment,,,25.5,4.7,45.4,66.8,50.0,69.8,0.163,0,0
8,10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment,,,43.3,7.9,34.7,116.3,23.8,111.1,0.127,0,0
9,10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment,,,34.8,24.6,28.3,85.9,23.5,56.3,0.117,0,0
10,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,24.96,,17.34,22.52,31.08,46.37,0.1,0,0
11,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.565,55.325,,27.03,195.0025,27.0,81.6475,,1,1
12,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,24.96,,17.34,22.52,31.08,46.37,0.1,0,0
13,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,24.96,,17.34,22.52,31.08,46.37,0.1,0,0
14,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.342,32.63,45.55,20.01,132.71,20.71,71.55,,2,1
15,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.5425,35.2625,,20.645,83.865,23.3575,87.77,,1,1
16,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,24.96,,17.34,22.52,31.08,46.37,0.1,0,0
17,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,24.96,,17.34,22.52,31.08,46.37,0.1,0,0
18,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,24.96,,17.34,22.52,31.08,46.37,0.1,0,0
19,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,24.96,,17.34,22.52,31.08,46.37,0.1,0,0
20,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.28,21.15,,6.47,77.59,,49.89,,0,0
21,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,24.96,,17.34,22.52,31.08,46.37,0.1,0,0
22,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,24.96,,17.34,22.52,31.08,46.37,0.1,0,0
23,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,24.96,,17.34,22.52,31.08,46.37,0.1,0,0
24,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,24.96,,17.34,22.52,31.08,46.37,0.1,0,0
25,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,24.96,,17.34,22.52,31.08,46.37,0.1,0,0
26,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.091,,,,,,,,0,0
27,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.718,53.7,3.38,291.0,76.8,37.1,33.1,,2,1
28,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.21,139.0,27.27,621.0,100.0,,44.1,0.139,2,1
29,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.195,,,,,,,,0,0
30,https://figshare.com/articles/22785971,figshare_22785971_REAL,,5.47,287.0,40.47,89.77,147.65,,164.92,,3,1
31,https://figshare.com/articles/22785971,figshare_22785971_REAL,,5.47,287.0,40.47,89.77,147.65,,164.92,,3,1
32,https://figshare.com/articles/22785971,figshare_22785971_REAL,,5.47,287.0,40.47,89.77,147.65,,164.92,,3,1
33,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,,,,251.1,,1,1
34,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,,,,425.8,,1,1
35,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,,,,77.6,,0,0
36,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,6.73,116.1,,,,0,0
37,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,,,,85.6,,0,0
38,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,17.0325,213.88625,,,,1,1
39,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,17.52,18.39,,,,0,0
40,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.21,22.15,,43.3,164.69,35.09,137.08,,0,0
41,https://figshare.com/articles/22785971,figshare_22785971_REAL,,4.1,,6.5,16.7,42.0,4.3,28.7,0.23,1,1
42,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.06,41.0,8.0,90.0,,,151.0,0.05,0,0
43,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.19,30.36,2.5,35.86,101.35,41.65,81.98,,0,0
44,https://figshare.com/articles/22785971,figshare_22785971_REAL,,6.35,,117.99,57.96,3419.0,23.35,43.83,,3,1
45,https://figshare.com/articles/22785971,figshare_22785971_REAL,,3.69,,53.1,39.97,118.47,11.97,21.98,0.15,2,1
46,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.137,31.9,8.47,31.3,89.9,47.9,93.4,0.0982,0,0
47,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.31,25.07,8.56,58.25,158.25,153.12,276.83,,3,1
48,https://figshare.com/articles/22785971,figshare_22785971_REAL,,5.2,,8.77,17.85,857.95,12.72,28.97,0.26,2,1
49,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,37.5,119.5,,1401.7,,1,1
50,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.28,34.95,10.77,67.47,128.19,97.07,133.0,,1,1
51,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,30.31,12.81,37.34,84.67,,84.92,,0,0
52,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,,23.32,396.4,35.38,,1,1
53,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.28,34.95,10.77,67.47,158.19,97.07,133.0,,1,1
54,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,9.5,124.3,,17.0,,0,0
55,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.31,25.07,8.56,58.25,158.25,153.12,276.83,,3,1
56,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,62.8,217.2,,94.2,,1,1
57,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,180.4,709.5,,,,2,1
58,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,6.0,180.2,,82.2,,0,0
59,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.096,25.3,6.97,21.3,75.0,39.2,78.2,0.122,0,0
60,https://figshare.com/articles/22785971,figshare_22785971_REAL,,2.58,28.67,19.23,31.13,,40.98,78.33,,1,1
61,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.163,29.4,5.87,21.7,89.0,21.7,78.4,0.147,0,0
62,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,,,10.21,72.43,,,,0,0
63,https://figshare.com/articles/22785971,figshare_22785971_REAL,,1.612,43.45,,13.85,87.95,,,,1,1
64,https://figshare.com/articles/22785971,figshare_22785971_REAL,,4.09,41.6,9.41,206.1,,,107.7,2.16,3,1
65,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.2165,128.151,19.5875,41.1265,554.941,25.817,96.404,0.4235,2,1
66,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.14,27.42,6.34,35.11,64.14,34.27,79.12,0.032,0,0
67,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.103,26.2,7.29,31.8,86.8,,87.5,,0,0
68,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.807,78.2,33.3,86.6,128.0,,113.0,0.346,2,1
69,https://figshare.com/articles/22785971,figshare_22785971_REAL,,14.8,130.0,86.0,128.0,397.0,,60.9,1.29,5,1
70,https://figshare.com/articles/22785971,figshare_22785971_REAL,,10.92,658.0,,,1549.0,,,,3,1
71,https://figshare.com/articles/22785971,figshare_22785971_REAL,,56.1,292.0,165.0,595.0,1509.0,,105.0,1.68,6,1
72,https://figshare.com/articles/22785971,figshare_22785971_REAL,,1.53,94.9,32.2,97.0,158.0,,118.0,0.317,3,1
73,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.0204,6.0087,,26.8734,,,5.1667,,0,0
74,https://figshare.com/articles/22785971,figshare_22785971_REAL,,1.12,69.92,12.39,125.76,193.7,58.44,111.81,0.22,1,1
75,https://figshare.com/articles/22785971,figshare_22785971_REAL,,1.59,74.7,26.6,107.0,329.0,,110.0,0.324,2,1
76,https://figshare.com/articles/22785971,figshare_22785971_REAL,,1.16,85.3,31.9,91.0,161.0,,114.0,0.319,3,1
77,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.946,65.4,35.7,108.0,218.0,,105.0,0.503,4,1
78,https://figshare.com/articles/22785971,figshare_22785971_REAL,,1.38,64.35,14.37,149.27,158.78,61.14,120.65,0.26,2,1
79,https://figshare.com/articles/22785971,figshare_22785971_REAL,,21.295,121.325,146.4,230.0,666.0,22.81,71.5,0.66,6,1
80,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.6684285714285715,22.995333333333335,20.41371428571429,146.31333333333336,113.30333333333331,34.28666666666667,94.598,0.18,1,1
81,https://figshare.com/articles/22785971,figshare_22785971_REAL,,1.18,97.5,34.9,95.9,161.0,,127.0,0.293,3,1
82,https://figshare.com/articles/22785971,figshare_22785971_REAL,,1.03,72.2,36.1,109.0,174.0,,123.0,0.27,2,1
83,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.31,45.2,10.13,64.8,100.39,38.09,100.41,0.11,1,1
84,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,62.785,,119.115,233.305,53.81,103.93,,1,1
85,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.38,41.86,9.7,66.53,95.62,39.39,101.07,0.1,1,1
86,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.881,69.4,30.8,114.0,152.0,,116.0,0.26,2,1
87,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.46,26.15,,141.19,146.05,,28.59,,1,1
88,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,13.1,0.99,126.04,105.335,50.83,,,0,0
89,https://figshare.com/articles/22785971,figshare_22785971_REAL,,,674.1,,635.0,666.0,439.3,138.5,,4,1
90,https://figshare.com/articles/22785971,figshare_22785971_REAL,,1.0734,76.37714285714286,13.516666666666666,67.78333333333333,113.18,36.06666666666667,76.035,0.3125,1,1
91,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.27,27.4,6.1,158.0,139.0,50.8,85.4,0.109,1,1
92,https://figshare.com/articles/22785971,figshare_22785971_REAL,,1.99,33.7,65.31,111.15,95.84,55.89,32.94,,2,1
93,https://figshare.com/articles/22785971,figshare_22785971_REAL,,3.74,57.35,,28.83,93.91,,,,1,1
94,https://figshare.com/articles/22785971,figshare_22785971_REAL,,9.626666666666669,810.5,16.45,239.0,1424.3333333333333,75.0,104.0,0.6,6,1
95,https://figshare.com/articles/22785971,figshare_22785971_REAL,,61.0,7168.0,,,19737.0,,153.42,,3,1
96,https://figshare.com/articles/22785971,figshare_22785971_REAL,,4.0,250.0,13.0,,900.0,,,,3,1
97,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.85,,,,,,,,1,1
98,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.29,28.02,13.28,30.32,,,66.83,0.12,0,0
99,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.417,39.1,7.21,40.2,102.7,,240.5,0.151,1,1
100,https://figshare.com/articles/22785971,figshare_22785971_REAL,,9.22,600.0,18.0,,1850.0,,,,3,1
101,https://figshare.com/articles/22785971,figshare_22785971_REAL,,4.0,125.0,6.5,,700.0,,,,3,1
102,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.26,53.36,11.09,84.67,,,116.39,0.08,0,0
103,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.4349999999999999,53.995,17.02,88.2,217.01,,59.43,0.14,2,1
104,https://figshare.com/articles/22785971,figshare_22785971_REAL,,1.02968666667,53.6732,39.3576,38.7068,148.005,52.615,315.568,0.428185,3,1
105,https://figshare.com/articles/22785971,figshare_22785971_REAL,,3.0,150.0,13.0,,850.0,,,,3,1
106,https://figshare.com/articles/22785971,figshare_22785971_REAL,,40.3,3518.4,103.7,,10400.0,,,,4,1
107,https://figshare.com/articles/22785971,figshare_22785971_REAL,,4.08,354.57,,177.62,850.0,,,0.825,5,1
108,https://figshare.com/articles/22785971,figshare_22785971_REAL,,20.5,2237.6,91.6,,7000.0,,,,4,1
109,https://figshare.com/articles/22785971,figshare_22785971_REAL,,0.37,69.08,25.59,77.2,117.09,,78.99,,1,1
110,https://figshare.com/articles/22785971,figshare_22785971_REAL,,1.22,,,,,,,,1,1
