alias,canonical
SoilpH,pH
pH,pH
pH_merged,pH
pH值,pH
酸碱度,pH
OC_pct,OC_pct
SOC,OC_pct
SOM,OC_pct
有机质,OC_pct
有机碳含量,OC_pct
有机质(g/kg),OC_pct
有机碳,OC_pct
CEC_cmolkg,CEC_cmolkg
阳离子交换量,CEC_cmolkg
CEC,CEC_cmolkg
阳离子交换量(cmol/kg),CEC_cmolkg
SoilBD_gcm3,SoilBD_gcm3
BD,SoilBD_gcm3
bulk_density,SoilBD_gcm3
土壤容重,SoilBD_gcm3
容重,SoilBD_gcm3
压实,SoilBD_gcm3
土壤容重(g/cm3),SoilBD_gcm3
EC_mScm,EC_mScm
EC,EC_mScm
electrical_conductivity,EC_mScm
电导率,EC_mScm
含盐量,EC_mScm
盐渍化程度,EC_mScm
Cd_mgkg,Cd_mgkg
镉,Cd_mgkg
Cd,Cd_mgkg
cd,Cd_mgkg
镉(mg/kg),Cd_mgkg
Pb_mgkg,Pb_mgkg
铅,Pb_mgkg
Pb,Pb_mgkg
pb,Pb_mgkg
铅(mg/kg),Pb_mgkg
As_mgkg,As_mgkg
砷,As_mgkg
As,As_mgkg
as,As_mgkg
砷(mg/kg),As_mgkg
Cr_mgkg,Cr_mgkg
铬,Cr_mgkg
Cr,Cr_mgkg
cr,Cr_mgkg
总铬,Cr_mgkg
铬(mg/kg),Cr_mgkg
六价铬,Cr6_mgkg
铬(六价),Cr6_mgkg
Cr(VI),Cr6_mgkg
Cr6+,Cr6_mgkg
六价铬(mg/kg),Cr6_mgkg
CrVI,Cr6_mgkg
Hg_mgkg,Hg_mgkg
汞,Hg_mgkg
Hg,Hg_mgkg
hg,Hg_mgkg
汞(mg/kg),Hg_mgkg
Cu_mgkg,Cu_mgkg
铜,Cu_mgkg
Cu,Cu_mgkg
cu,Cu_mgkg
铜(mg/kg),Cu_mgkg
Zn_mgkg,Zn_mgkg
锌,Zn_mgkg
Zn,Zn_mgkg
zn,Zn_mgkg
锌(mg/kg),Zn_mgkg
Ni_mgkg,Ni_mgkg
镍,Ni_mgkg
Ni,Ni_mgkg
ni,Ni_mgkg
镍(mg/kg),Ni_mgkg
BaP_ngg,BaP_ngg
BaP_mgkg,BaP_ngg
苯并[a]芘,BaP_ngg
苯并 [a] 芘,BaP_ngg
苯并芘,BaP_ngg
BaP,BaP_ngg
bap,BaP_ngg
苯并[a]芘(ng/g),BaP_ngg
Sum_PAH_ngg,Sum_PAH_ngg
SumPAH,Sum_PAH_ngg
PAHs总量,Sum_PAH_ngg
多环芳烃总量,Sum_PAH_ngg
PAHs,Sum_PAH_ngg
PAH,Sum_PAH_ngg
多环芳烃,Sum_PAH_ngg
SumHCHs_ngg,SumHCHs_ngg
HCHs,SumHCHs_ngg
HCH,SumHCHs_ngg
六六六总量,SumHCHs_ngg
六六六,SumHCHs_ngg
α-六六六,SumHCHs_ngg
β-六六六,SumHCHs_ngg
γ-六六六,SumHCHs_ngg
SumDDTs_ngg,SumDDTs_ngg
DDTs,SumDDTs_ngg
DDT,SumDDTs_ngg
滴滴涕总量,SumDDTs_ngg
滴滴涕,SumDDTs_ngg
"p,p'-滴滴滴",SumDDTs_ngg
"p,p'-滴滴伊",SumDDTs_ngg
SumOCP_ngg,SumOCP_ngg
OCPs,SumOCP_ngg
OCP,SumOCP_ngg
有机氯农药,SumOCP_ngg
有机氯农药总量,SumOCP_ngg
SumPCB_ngg,SumPCB_ngg
PCBs,SumPCB_ngg
PCB,SumPCB_ngg
多氯联苯,SumPCB_ngg
多氯联苯总量,SumPCB_ngg
SumPBDE_ngg,SumPBDE_ngg
PBDEs,SumPBDE_ngg
PBDE,SumPBDE_ngg
多溴二苯醚,SumPBDE_ngg
SumPFAS_ngg,SumPFAS_ngg
PFAS,SumPFAS_ngg
PFAS总量,SumPFAS_ngg
SumPAE_ugkg,SumPAE_ugkg
PAEs,SumPAE_ugkg
邻苯二甲酸酯,SumPAE_ugkg
TPH_ngg,TPH_ngg
TPH,TPH_ngg
石油烃,TPH_ngg
石油烃(C10-C40),TPH_ngg
总石油烃,TPH_ngg
石油烃总量,TPH_ngg
TN_gkg,TN_gkg
全氮,TN_gkg
总氮,TN_gkg
TN,TN_gkg
全氮(g/kg),TN_gkg
Elevation_m,Elevation_m
Altitude_m,Elevation_m
海拔,Elevation_m
高程,Elevation_m
DEM,Elevation_m
MAP_mm,MAP_mm
年均降水量,MAP_mm
降水,MAP_mm
precipitation,MAP_mm
