factor,overall_pct,HM_pct,OP_pct
Cd_mgkg,55.02,73.93,0.0
Pb_mgkg,55.91,74.24,0.05
As_mgkg,40.32,55.2,0.05
Cr_mgkg,46.31,67.13,0.05
Hg_mgkg,25.28,37.26,0.05
Cu_mgkg,48.6,69.91,0.11
Zn_mgkg,48.27,69.17,0.16
Ni_mgkg,29.11,41.31,0.0
SoilpH,27.18,36.25,16.14
OC_pct,34.69,26.31,25.37
CEC_cmolkg,28.33,25.41,3.13
SoilBD_gcm3,2.31,2.89,1.49
Sum_PAH_ngg,10.27,0.0,42.2
BaP_ngg,3.71,0.0,12.31
SumOCP_ngg,0.62,0.0,4.83
SumDDTs_ngg,2.42,0.0,8.65
SumPCB_ngg,0.81,0.0,6.1
SumHCHs_ngg,2.22,0.0,7.59
SumPAE_ugkg,0.42,0.0,6.05
SumPBDE_ngg,0.66,0.0,5.41
SumPFAS_ngg,0.26,0.0,1.38
TPH_ngg,0.07,0.0,0.37
HMWPAH_ngg,0.2,0.0,2.49
LMWPAH_ngg,0.2,0.0,2.49
