d_code,序号,指标名称,准则层,目标层,生产权重,生态权重,实测因子别名,归一化方法,参照数据来源,参照证据等级,demo可用性,备注
D1_土壤含盐量,1,土壤含盐量,限制因子C1,安全性B1,0.1153,0.119537,"电导率, 含盐量",外部参照总体归一化,"TD/T1036-2013, CJ/T340-2016",A+B,中等,电导率数据常见；含盐量较少
D2_土壤碱化度,2,土壤碱化度,限制因子C1,安全性B1,0.0562,0.060807,"碱化度, 交换性钠",外部参照总体归一化,"CJ/T340-2016, USDA",B,低,demo通常无碱化度/ESP数据
D3_土壤机械组成,3,土壤机械组成,限制因子C1,安全性B1,0.0659,0.065157,"机械组成, 质地, 土壤质地",外部参照总体归一化,"全国二普, TD/T1036-2013",A,高,砂粒/粉粒/黏粒数据常见
D4_土壤含水率,4,土壤含水率,限制因子C1,安全性B1,0.0686,0.067827,"含水率, 水分",外部参照总体归一化,USDA Soil Survey Manual,C,低,demo通常无田间持水量数据
D5_阳离子交换量,5,阳离子交换量,限制因子C1,安全性B1,0.0305,0.030156,"阳离子交换量, CEC",外部参照总体归一化,"全国二普, CJ/T340-2016",A,高,CEC数据在农用地检测中常见
D6_盐基饱和度,6,盐基饱和度,限制因子C1,安全性B1,0.1316,0.130710,盐基饱和度,外部参照总体归一化,全国二普,B,低,demo通常无盐基饱和度数据
D7_pH,7,pH,限制因子C1,安全性B1,0.0653,0.064564,pH,外部参照总体归一化,"TD/T1036-2013, CJ/T340-2016",A,极高,几乎所有场地都有pH数据
D8_土壤有机质,8,土壤有机质,限制因子C1,安全性B1,0.0344,0.034012,"有机质, SOC",外部参照总体归一化,全国二普,A,极高,有机质数据极为常见
D9_水稳性团聚体,9,水稳性团聚体,限制因子C1,安全性B1,0.0257,0.025410,水稳性团聚体,外部参照总体归一化,文献(中科院南京土壤研究所),C,极低,demo通常无团聚体数据
D10_有效态锌铁锰硼钙,10,有效态微量元素,限制因子C1,安全性B1,0.1406,0.139015,"有效锌, 有效铁, 有效锰, 有效硼, 有效钙",外部参照总体归一化,CJ/T340-2016,B,中等,少数场地有微量元素数据
D11_氮磷钾,11,氮磷钾养分,限制因子C1,安全性B1,0.0535,0.052897,"全氮, 总氮, 全磷, 速效钾",外部参照总体归一化,"全国二普, NY/T1749-2009",A,高,全氮/全磷/速效钾在农用地检测中常见
D12_土壤酶活性,12,土壤酶活性,限制因子C1,安全性B1,0.0346,0.034210,"过氧化氢酶, 脲酶, 磷酸酶, 蔗糖酶",外部参照总体归一化,文献(关松荫1986),C,极低,demo通常无酶活性数据
D13_土壤渗透率,13,土壤渗透率,限制因子C1,安全性B1,0.0650,0.064267,"渗透率, 饱和水力传导率",外部参照总体归一化,"CJ/T340-2016, USDA",B,低,demo通常无渗透率数据
