indicator_code,indicator_name,scope,crop,region,year,unit,value,direction,source_name,source_url,source_document,table_or_page,is_proxy,version,effective_date,derivation
D18,劳动力成本,production,rice,CN,2021,元/亩·年,461.59,negative,全国农产品成本收益资料汇编2022,https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2022,表1-2-1 稻谷成本收益情况,true,v1.2,2026-07-21,稻谷每亩人工成本(家庭用工折价+雇工费用); 基于2020-2022趋势插值
D18,劳动力成本,production,rice,CN,2022,元/亩·年,457.13,negative,农小蜂2024年中国稻谷成本收益分析报告,https://www.abeedata.com/home/article/detail/id/22845,全国农产品成本收益资料汇编2023(引用于农小蜂报告),表1-2-1 稻谷成本收益情况,true,v1.2,2026-07-21,稻谷每亩人工成本; 源数据引用自全国农产品成本收益资料汇编2023
D18,劳动力成本,production,rice,CN,2023,元/亩·年,452.78,negative,全国农产品成本收益资料汇编2024(推算),https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2024,表1-2-1(推算),true,v1.2,2026-07-21,稻谷每亩人工成本; 基于2020-2022递减趋势线性外推(年均-2.2%)
D19,机械作业及服务成本,production,rice,CN,2021,元/亩·年,206.32,negative,全国农产品成本收益资料汇编2022,https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2022,表1-2-2 稻谷费用和用工情况,true,v1.2,2026-07-21,稻谷每亩机械作业费; 基于2020-2022趋势插值
D19,机械作业及服务成本,production,rice,CN,2022,元/亩·年,270.78,negative,全国农产品成本收益资料汇编2023,https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2023,表1-2-2 稻谷费用和用工情况,true,v1.2,2026-07-21,稻谷每亩机械作业费; 物质服务费644.72×42%(机械占比稳定~42%)
D19,机械作业及服务成本,production,rice,CN,2023,元/亩·年,278.11,negative,全国农产品成本收益资料汇编2024(推算),https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2024,表1-2-2(推算),true,v1.2,2026-07-21,稻谷每亩机械作业费; 基于2022年机械占比×2023年推算物质服务费
D20,土地成本,production,rice,CN,2021,元/亩·年,252.06,negative,全国农产品成本收益资料汇编2022,https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2022,表1-2-1,true,v1.2,2026-07-21,稻谷每亩土地成本(自营地折租+流转地租金); 基于2020-2022趋势插值
D20,土地成本,production,rice,CN,2022,元/亩·年,260.06,negative,农小蜂2024年中国稻谷成本收益分析报告,https://www.abeedata.com/home/article/detail/id/22845,全国农产品成本收益资料汇编2023(引用于农小蜂报告),表1-2-1,true,v1.2,2026-07-21,稻谷每亩土地成本; 源数据引用自全国农产品成本收益资料汇编2023
D20,土地成本,production,rice,CN,2023,元/亩·年,268.44,negative,全国农产品成本收益资料汇编2024(推算),https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2024,表1-2-1(推算),true,v1.2,2026-07-21,稻谷每亩土地成本; 基于2020-2022增长趋势线性外推(年均+3.2%)
D21,非机械化物质投入,production,rice,CN,2021,元/亩·年,284.92,negative,全国农产品成本收益资料汇编2022,https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2022,表1-2-2,true,v1.2,2026-07-21,种子费+化肥费+农家肥费+农药费+农膜费; 基于2020-2022趋势插值
