factor_id,factor_name,track,land_use_target,standard_source,threshold_type,upper_limit,lower_limit,ideal_min,ideal_max,pH_condition,soil_texture_condition,region_condition,unit,threshold_version,evidence_level,notes
80,pH,production,生产,土壤复垦质量控制标准TD/T1036-2013,interval,8.0,6.5,6.5,8.0,,,东北山丘平原区 6.5-8.0,,V1.0,B,水田用地
81,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.5,6.0,6.0,8.5,,,中部山地丘陵区 6.0-8.5,,V1.0,B,nan
82,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.0,6.5,6.5,8.0,,,黄淮海平原区 6.5-8.0,,V1.0,B,nan
83,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.0,5.5,5.5,8.0,,,西南山地丘陵区 5.5-8.0,,V1.0,B,nan
84,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.0,6.0,6.0,8.0,,,长江中下游平原区 6.0-8.0,,V1.0,B,nan
85,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.0,6.0,6.0,8.0,,,东南沿海山地丘陵区 6.0-8.0,,V1.0,B,nan
86,pH,production,生产,土壤复垦质量控制标准TD/T1036-2013,interval,8.5,6.0,6.0,8.5,,,北方草原区 6.0-8.5,,V1.0,B,其他用地
87,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.5,6.0,6.0,8.5,,,东北山丘平原区 6.0-8.5,,V1.0,B,nan
88,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.5,6.5,6.5,8.5,,,西北干旱区 6.5-8.5,,V1.0,B,nan
89,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.5,6.0,6.0,8.5,,,青藏高原区 6.0-8.5,,V1.0,B,nan
90,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.5,6.0,6.0,8.5,,,黄土高原区 6.0-8.5,,V1.0,B,nan
91,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.5,5.5,5.5,8.5,,,中部山地丘陵区 5.5-8.5,,V1.0,B,nan
