DOI,Source,Latitude,Longitude,Province,Pollution_Type,SoilpH,pH,OC_pct,Cd_mgkg,Pb_mgkg,As_mgkg,Cr_mgkg,Hg_mgkg,Cu_mgkg,Zn_mgkg,Ni_mgkg,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签_生产,标签_生态,标签,id_DOI,id_Source,split_source,is_synthetic,pH__missing,Cd_mgkg__missing,Pb_mgkg__missing,As_mgkg__missing,Cr_mgkg__missing,Hg_mgkg__missing,Cu_mgkg__missing,Zn_mgkg__missing,Ni_mgkg__missing,Sum_PAH_ngg__missing,BaP_ngg__missing,SumOCP_ngg__missing,SumDDTs_ngg__missing,SumPCB_ngg__missing,SumHCHs_ngg__missing,SumPAE_ugkg__missing,SumPBDE_ngg__missing,SumPFAS_ngg__missing,TPH_ngg__missing,HMWPAH_ngg__missing,LMWPAH_ngg__missing
10.1089/ees.2020.0416,The Pollution Characteristics and Full-Scale Risk Assessment of Coking Plant Soil Co-Contaminated with Polycyclic Aromatic Hydrocarbons and Heavy Metals,,,,HM+OP,,8.0,,1.371654522789342,62.516250304979124,26.13609873069696,65.56513406490065,0.15783478726358546,36.7523607113945,129.79937804031175,30.57735324144374,247520.0,2066.6322817291134,77.2,20.0,20083.337499999998,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,1,1,1,10.1089/ees.2020.0416,The Pollution Characteristics and Full-Scale Risk Assessment of Coking Plant Soil Co-Contaminated with Polycyclic Aromatic Hydrocarbons and Heavy Metals,real_model_ready,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1016/j.envpol.2021.117191,A novel method to analyze the spatial distribution and potential sources of pollutant combinations in the soil of Beijing urban parks,40.5,116.55,北京,HM+OP,8.4,8.0,,0.37,29.1,13.408822401025944,104.8,0.7719672232140022,34.8,122.2,32.143214605383974,471.9,65.22626752234689,77.2,20.0,92.39861432318881,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,0,0,10.1016/j.envpol.2021.117191,A novel method to analyze the spatial distribution and potential sources of pollutant combinations in the soil of Beijing urban parks,real_model_ready,False,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.21203/rs.3.rs-1769519/v1,"Combined Pollution of Heavy Metals and Polycyclic Aromatic Hydrocarbons in the soil in Shenfu Region, China - A Case of Three Different Cities",,,辽宁,HM+OP,,8.0,,0.15143155527444424,31.39,8.39,104.57,0.18993075535232345,45.51,110.23,37.01,3906680.0,147466.1,77.2,20.0,1105122.5,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,1,1,1,10.21203/rs.3.rs-1769519/v1,"Combined Pollution of Heavy Metals and Polycyclic Aromatic Hydrocarbons in the soil in Shenfu Region, China - A Case of Three Different Cities",real_model_ready,False,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.21203/rs.3.rs-1769519/v1,"Combined Pollution of Heavy Metals and Polycyclic Aromatic Hydrocarbons in the soil in Shenfu Region, China - A Case of Three Different Cities",,,辽宁,HM+OP,,8.0,,0.15143155527444424,24.98,9.76,79.25,0.17188068871766798,19.44,85.26,37.53,726940.0,98275.0,77.2,20.0,825677.5,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,1,1,1,10.21203/rs.3.rs-1769519/v1,"Combined Pollution of Heavy Metals and Polycyclic Aromatic Hydrocarbons in the soil in Shenfu Region, China - A Case of Three Different Cities",real_model_ready,False,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1007/s11356-015-5249-1,"Temporal trends and risk assessment of polychlorinated biphenyls and heavy metals in a solid waste site in Taizhou, China",29.10527778,121.5286111,Zhejiang,HM+OP,,8.0,,1.1,132.46,23.450545324653415,408.28,1.45,300.3,59.46,36.24,206077.2785231467,1656.0830417121583,77.2,20.0,6902.9,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,1,1,1,10.1007/s11356-015-5249-1,"Temporal trends and risk assessment of polychlorinated biphenyls and heavy metals in a solid waste site in Taizhou, China",real_model_ready,False,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,8.0,,0.34192476906942143,21.0,6.088862798222069,39.0,3.0,4.5,46.0,12.0,109183.95102811042,982.176336736931,77.2,20.0,98.40154740523737,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,1,0,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,8.0,,7.210066366179977,24.0,38.25158488675485,193.0,3.5,58.0,56.0,23.0,140004.02204100613,1360.4412655980673,77.2,20.0,223.23752999102285,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,1,0,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,8.0,,10.545536421565767,20.0,43.404385505569046,177.0,4.0,27.0,52.0,6.0,140004.02204100613,1420.7584227409245,77.2,20.0,233.25580506412226,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,1,0,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,8.0,,0.15143155527444424,19.0,10.264120384040051,164.0,2.5,38.0,202.0,69.0,124863.30651292492,2428.977227435185,77.2,20.0,223.93121461835204,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,1,0,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,8.0,,0.29753518573608806,26.0,7.989382137093161,139.0,2.5,5.5,48.0,24.0,154062.53736013809,1560.4696298060219,77.2,20.0,223.93121461835204,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,1,0,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
