ID,DOI,Source,Year,镉,铅,砷,铜,锌,镍,铬,汞,超标因子数,标签,id_DOI,id_Source,split_source,is_synthetic
2521,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,51.4,3560.0,68.3,,,,27.6,0.218,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2522,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.29,13.72,1.63,,,,67.89,0.03,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2523,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,17.7,1104.8,5.6,,,,72.58,0.26,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2524,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,11.6,79.12,,,,,,0.133,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2525,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,3.33,290.93,,,,,,0.062,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2526,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.14,285.5,,,,,,0.05,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2527,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.347,39.6,,,,,,0.421,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2528,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.119,28.0,,,,,,0.191,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2529,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.0528,26.57,,,,,,0.225,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2530,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.315,,22.061,,,,8.559,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2531,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.351,,6.308,,,,11.868,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2532,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.347,,9.333,,,,13.163,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2533,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.361,,10.588,,,,11.162,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2534,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.343,,8.043,,,,4.775,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2535,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.35,,10.976,,,,4.483,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
