DOI,Source,Latitude,Longitude,Province,Pollution_Type,SoilpH,pH,OC_pct,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签_生产,标签_生态,标签,id_DOI,id_Source,split_source,is_synthetic
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,32.31457976117329,105.00180499221874,北京,PAH,,,,460.0,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,31.22915325517336,107.40289352771832,北京,PAH,,,,1228.0,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,33.30391297147135,108.9778390028034,天津,PAH,,,,360.0,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,33.916454163424554,97.37253698449784,北京,PAH,,,,1082.6,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,36.19764536380144,113.41701736712518,北京,PAH,,,,1989.0,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,32.893182658922754,113.27390868715506,北京,PAH,,,,1285.0,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,31.02262121894807,107.41319885929852,北京,PAH,,,,1026.0,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,39.52327675743419,111.30200185085668,北京,PAH,,,,811.0,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,34.504883736774424,110.92894783711016,北京,PAH,,,,673.0,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,39.35787241588331,113.92655756915548,北京,PAH,,,,538.0,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,31.44137141645905,100.99452419604197,北京,PAH,,,,523.0,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,31.600697887644063,111.63099982125966,天津,PAH,,,,1490.0,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,33.566705930930866,110.81287107112844,天津,PAH,,,,708.0,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,36.23752861960749,108.6823033098142,天津,PAH,,,,904.0,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,38.009352423173645,113.7177393904148,天津,PAH,,,,699.0,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,30.8709618478708,102.4873598342993,天津,PAH,,,,142.0,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,31.75125318085543,102.11508557247562,天津,PAH,,,,382.0,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,37.28983474205049,103.26412158307129,天津,PAH,,,,932.0,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,36.53648179107322,112.22025592680212,北京,PAH,,,,1004.1,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,32.955682035015926,106.16194091209456,北京,PAH,,,,321.8,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,38.09491376583545,100.94305193546458,北京,PAH,,,,622.4,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,35.21929547964104,101.75626641993075,北京,PAH,,,,460.8,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,36.95523830115956,110.2878952031999,北京,PAH,,,,219.2,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,34.87502073664872,107.50773415719516,北京,PAH,,,,195.3,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,30.409728320857255,97.88864839713196,北京,PAH,,,,489.6,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,32.88618907581811,112.787448729648,天津,PAH,,,,1295.8,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,36.41509241396183,111.84346350889572,天津,PAH,,,,1258.6,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,32.32125511748405,97.16502984502208,天津,PAH,,,,624.7,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,34.694115957414056,96.71870670790696,天津,PAH,,,,1003.9,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,31.612659505093575,114.118214357846,天津,PAH,,,,481.8,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,33.09983904916966,99.68207109643528,天津,PAH,,,,435.1,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,36.588347503370265,95.0710616904678,天津,PAH,,,,289.1,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,38.77486693612428,107.27377272534156,天津,PAH,,,,175.7,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,35.68343806484532,103.77873592215109,天津,PAH,,,,296.1,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,37.941469318121435,100.66820406906754,天津,PAH,,,,229.3,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,36.308881368827336,101.27385177578758,天津,PAH,,,,286.0,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,38.34494749226992,110.89211733050212,天津,PAH,,,,772.9,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,32.82181989561194,113.96101916393168,天津,PAH,,,,259.9,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,33.003083263171014,100.80398660765044,天津,PAH,,,,323.3,,,,,,,,,,,,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,32.96209011111471,102.08532322772147,北京,PAH,,,,602.5,,,,,,,,,,,,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False
10.1038/srep17624,organic_v1.1_10.1038/srep17624,38.84421260685343,101.23498542448216,广东,OCP,,,,,,266.18,96.48,,,,,,,,,0,0,0,10.1038/srep17624,organic_v1.1_10.1038/srep17624,real_model_ready,False
10.1038/srep17624,organic_v1.1_10.1038/srep17624,38.99292319145729,104.80605270771105,广东,OCP,,,,,,73.67,,,,,,,,,,0,0,0,10.1038/srep17624,organic_v1.1_10.1038/srep17624,real_model_ready,False
10.1038/srep17624,organic_v1.1_10.1038/srep17624,34.442577509492175,102.88845311019466,广东,OCP,,,,,,47.69,,,,,,,,,,0,0,0,10.1038/srep17624,organic_v1.1_10.1038/srep17624,real_model_ready,False
10.1038/srep17624,organic_v1.1_10.1038/srep17624,38.277405887556235,111.53573409188732,广东,OCP,,,,,,,68.5,,16.2,,,,,,,0,0,0,10.1038/srep17624,organic_v1.1_10.1038/srep17624,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,32.0403,117.2298,安徽,PAH,,,,268.73,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
