subset,track,ablation,model_name,n_features,n_train,n_test,test_spearman,test_mae,test_r2,test_spearman_ci_low,test_spearman_ci_high,top5_stability,grouped_stability_std,cv_spearman_mean
all,eco,ContextOnly,RandomForest,69,21624,5407,0.3253518545607046,0.12717457400731424,-0.015484946916526132,0.29924984316818287,0.35111873374686287,0.9969999999999999,0.5460527751014075,0.44656180274528284
all,eco,Full,RandomForest,110,21624,5407,0.9651416982733453,0.042433475270137945,0.7780704200505943,0.9622900592792986,0.9675396698396225,0.9530000000000001,0.30907040262255725,0.9031674422214353
all,eco,MeasuredOnly,RandomForest,91,21624,5407,0.9695415415723233,0.037616467219403274,0.8149368381264632,0.9667781670345725,0.971974266840086,0.9640000000000001,0.2589123768729655,0.8912420102305397
all,prod,ContextOnly,RandomForest,69,21624,5407,0.3109867650293919,0.15325698649181863,-0.03491393656728703,0.28525141320705144,0.33601712680903784,0.9700000000000002,0.4878910219617856,0.4713467383847924
all,prod,Full,RandomForest,110,21624,5407,0.9616285356187371,0.05157074639332046,0.7956599070816199,0.9586287183284912,0.9644101324671197,1.0,0.18556681723929122,0.9340995577344735
all,prod,MeasuredOnly,RandomForest,91,21624,5407,0.967610352341157,0.04609003591524778,0.8346280381639792,0.9650127280409244,0.970010555720788,1.0,0.22681469572845847,0.938088381250117
hm,eco,Full,RandomForest,110,16504,4126,0.9582085744501151,0.04447144752604479,0.7372109292332827,0.9544834512822955,0.962171598008283,1.0,0.3499247745401318,0.9659999023956066
hm,prod,Full,RandomForest,110,16504,4126,0.968036908754139,0.046880629480525,0.8085090243096714,0.9649918999074097,0.9706621376813519,1.0,0.1327829239485058,0.9698017416436606
op,eco,Full,RandomForest,110,3330,796,0.6615550426444096,0.014819444430406734,0.700584977249082,0.6033082973452089,0.7117076690544887,1.0,0.2750406220826396,0.5996085420708076
op,prod,Full,RandomForest,110,3330,796,0.7694855274207247,0.007814216888855145,0.6892933810216941,0.6948203828174789,0.8340492079516633,0.9010000000000001,0.019603177135842365,0.5640024578819602
