paper_id,rows,pool
72287_s00128-013-1130-4,3,op_only
1-s2.0-S0269749122009307,3,op_only
1-s2.0-S0045653522020495,1,op_only
70581_es1007802,9,op_only
66001_s00244-019-00617-w,9,op_only
65855_etc.160,8,op_only
10807039.2017.1394175,7,op_only
_dup_es1007802,10,op_only
1-s2.0-S0045653524029515,11,op_only
72422_s12665-013-2349-4,16,op_only
d4ra06060a,10,hm_op
72169_j.jhazmat.2012.06.060,12,hm_op
1-s2.0-S0045653522005136,12,op_only
_dup_acs.est.9b00698,20,hm_op
72309_s00128-008-9542-2,26,op_only
1-s2.0-S0048969722046046,26,op_only
1-s2.0-S0048969721063567,20,op_only
1-s2.0-S1001074225001469,43,op_only
70595_c0em00098a,20,op_only
70598_c0em00737d,32,op_only
72372_s10661-010-1801-0,26,op_only
72320_s00244-009-9314-y,68,op_only
1-s2.0-S0048969721051329,56,hm_op
72240_s00254-008-1204-5,77,op_only
15275920903558968,95,op_only
72410_jep.2011.210153,88,op_only
72350_es0513741,55,op_only
72520_Chiu-Wen Chen 等 - 2012 - Distribution and so,154,op_only
15320383.2011.528468,376,op_only
