source_id,paper_id,doi,title,year,province,city_or_region,site_name,land_use,sample_id,sampling_depth_cm,latitude,longitude,pollution_type,pollutant_family,pollutant_name_original,pollutant_name_std,value_original,unit_original,value_std,unit_std,conversion_note,censoring_flag,detection_limit,evidence_level,evidence_location,extraction_note,qa_flag
P11188,P11188,,Investigation of Organic Pollution in a Polluted Site in Qingdao and Screening of Remediation Technology,2026,,,场地,other,P11188_s3_场地,,,,OP,PAHs,4 苯并（a）芘含量 （mg/kg）,Sum_PAH_ngg,Σ1monomers=100,mg/kg,100.0,ng/g,0.1 mg/kg × 1000.0 = 100.0 ng/g,below_detection,,A_sample_table,2020_刘玉峰_Unknown_null/parsed/paper.md tbl#11 row3 col4,聚合 1 单体求和→100 hdr='4 苯并（a）芘含量 （mg/kg）' <检出限 <0.1 high,monomer_aggregated
10.3389/fenvs.2023.1209137,P03781,10.3389/fenvs.2023.1209137,"Spatial distribution characteristics, source analysis and risk assessment of polycyclic aromatic hydrocarbons in topsoil",2023,,,rings (TABLE 1 PAHs in soi l of an in),industrial,P03781_tr2_rings,,,,OP,PAHs,Naphthalene,Sum_PAH_ngg,Σ15monomers=59,ng/g,59.0,ng/g,2.0 ng/g (已是 ng/g),measured,,A_sample_table,2023_ChineseAcademyofSciences(CAS) et al_Science_10.3389-fenvs.2023.1209137/parsed/paper.md tbl#0 row2 col2,聚合 15 单体求和→59 hdr='Naphthalene'  mid,monomer_aggregated
10.3389/fenvs.2023.1209137,P03781,10.3389/fenvs.2023.1209137,"Spatial distribution characteristics, source analysis and risk assessment of polycyclic aromatic hydrocarbons in topsoil",2023,,,rings (TABLE 1 PAHs in soi l of an in),industrial,P03781_tr2_rings,,,,OP,PAHs,Benzo(a)pyrene,BaP_ngg,Σ1monomers=5,ng/g,5.0,ng/g,5.0 ng/g (已是 ng/g),measured,,A_sample_table,2023_ChineseAcademyofSciences(CAS) et al_Science_10.3389-fenvs.2023.1209137/parsed/paper.md tbl#0 row14 col2,聚合 1 单体求和→5 hdr='Benzo(a)pyrene'  mid,monomer_aggregated
10.3389/fenvs.2023.1209137,P03781,10.3389/fenvs.2023.1209137,"Spatial distribution characteristics, source analysis and risk assessment of polycyclic aromatic hydrocarbons in topsoil",2023,,,factor (TEF) (TABLE 1 PAHs in soi l of an in),industrial,P03781_tr3_factorTEF,,,,OP,PAHs,Naphthalene,Sum_PAH_ngg,Σ15monomers=1.437,ng/g,1.437,ng/g,0.001 ng/g (已是 ng/g),measured,,A_sample_table,2023_ChineseAcademyofSciences(CAS) et al_Science_10.3389-fenvs.2023.1209137/parsed/paper.md tbl#0 row2 col3,聚合 15 单体求和→1.437 hdr='Naphthalene'  mid,monomer_aggregated
10.3389/fenvs.2023.1209137,P03781,10.3389/fenvs.2023.1209137,"Spatial distribution characteristics, source analysis and risk assessment of polycyclic aromatic hydrocarbons in topsoil",2023,,,factor (TEF) (TABLE 1 PAHs in soi l of an in),industrial,P03781_tr3_factorTEF,,,,OP,PAHs,Benzo(a)pyrene,BaP_ngg,Σ1monomers=1,ng/g,1.0,ng/g,1.0 ng/g (已是 ng/g),value_is_1_suspicious,,A_sample_table,2023_ChineseAcademyofSciences(CAS) et al_Science_10.3389-fenvs.2023.1209137/parsed/paper.md tbl#0 row14 col3,聚合 1 单体求和→1 hdr='Benzo(a)pyrene' MinerU 合并单元格可能误读为 1,value_is_1_suspicious;monomer_aggregated
10.3389/fenvs.2023.1209137,P03781,10.3389/fenvs.2023.1209137,"Spatial distribution characteristics, source analysis and risk assessment of polycyclic aromatic hydrocarbons in topsoil",2023,,,mg/kg (TABLE 1 PAHs in soi l of an in),industrial,P03781_tr4_mgkg,,,,OP,PAHs,Naphthalene,Sum_PAH_ngg,ND,ng/g,,ng/g,,below_detection,,A_sample_table,2023_ChineseAcademyofSciences(CAS) et al_Science_10.3389-fenvs.2023.1209137/parsed/paper.md tbl#0 row2 col4,hdr='Naphthalene' 未检出 ND mid,missing;monomer_needs_aggregation
10.3389/fenvs.2023.1209137,P03781,10.3389/fenvs.2023.1209137,"Spatial distribution characteristics, source analysis and risk assessment of polycyclic aromatic hydrocarbons in topsoil",2023,,,mg/kg (TABLE 1 PAHs in soi l of an in),industrial,P03781_tr4_mgkg,,,,OP,PAHs,Acenaphthylene,Sum_PAH_ngg,ND,ng/g,,ng/g,,below_detection,,A_sample_table,2023_ChineseAcademyofSciences(CAS) et al_Science_10.3389-fenvs.2023.1209137/parsed/paper.md tbl#0 row3 col4,hdr='Acenaphthylene' 未检出 ND mid,missing;monomer_needs_aggregation
10.3389/fenvs.2023.1209137,P03781,10.3389/fenvs.2023.1209137,"Spatial distribution characteristics, source analysis and risk assessment of polycyclic aromatic hydrocarbons in topsoil",2023,,,mg/kg (TABLE 1 PAHs in soi l of an in),industrial,P03781_tr4_mgkg,,,,OP,PAHs,Acenaphthene,Sum_PAH_ngg,ND,ng/g,,ng/g,,below_detection,,A_sample_table,2023_ChineseAcademyofSciences(CAS) et al_Science_10.3389-fenvs.2023.1209137/parsed/paper.md tbl#0 row4 col4,hdr='Acenaphthene' 未检出 ND mid,missing;monomer_needs_aggregation
10.3389/fenvs.2023.1209137,P03781,10.3389/fenvs.2023.1209137,"Spatial distribution characteristics, source analysis and risk assessment of polycyclic aromatic hydrocarbons in topsoil",2023,,,mg/kg (TABLE 1 PAHs in soi l of an in),industrial,P03781_tr4_mgkg,,,,OP,PAHs,Fluorene,Sum_PAH_ngg,ND,ng/g,,ng/g,,below_detection,,A_sample_table,2023_ChineseAcademyofSciences(CAS) et al_Science_10.3389-fenvs.2023.1209137/parsed/paper.md tbl#0 row5 col4,hdr='Fluorene' 未检出 ND mid,missing;monomer_needs_aggregation
10.3389/fenvs.2023.1209137,P03781,10.3389/fenvs.2023.1209137,"Spatial distribution characteristics, source analysis and risk assessment of polycyclic aromatic hydrocarbons in topsoil",2023,,,mg/kg (TABLE 1 PAHs in soi l of an in),industrial,P03781_tr4_mgkg,,,,OP,PAHs,Phenanthrene,Sum_PAH_ngg,ND,ng/g,,ng/g,,below_detection,,A_sample_table,2023_ChineseAcademyofSciences(CAS) et al_Science_10.3389-fenvs.2023.1209137/parsed/paper.md tbl#0 row6 col4,hdr='Phenanthrene' 未检出 ND mid,missing;monomer_needs_aggregation
10.3389/fenvs.2023.1209137,P03781,10.3389/fenvs.2023.1209137,"Spatial distribution characteristics, source analysis and risk assessment of polycyclic aromatic hydrocarbons in topsoil",2023,,,mg/kg (TABLE 1 PAHs in soi l of an in),industrial,P03781_tr4_mgkg,,,,OP,PAHs,Anthracene,Sum_PAH_ngg,ND,ng/g,,ng/g,,below_detection,,A_sample_table,2023_ChineseAcademyofSciences(CAS) et al_Science_10.3389-fenvs.2023.1209137/parsed/paper.md tbl#0 row7 col4,hdr='Anthracene' 未检出 ND mid,missing;monomer_needs_aggregation
