paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Nap_ngg,79.7,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Nap_ngg,2.3,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Acy_ngg,79.7,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Acy_ngg,2.0,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Ace_ngg,91.5,Unknown,table_p3_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Ace_ngg,2.3,Unknown,table_p3_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Flu_ngg,55.9,Unknown,table_p3_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Flu_ngg,2.8,Unknown,table_p3_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Phe_ngg,55.9,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Phe_ngg,2.1,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Ant_ngg,54.2,Unknown,table_p3_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Ant_ngg,3.4,Unknown,table_p3_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Flt_ngg,74.6,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Flt_ngg,2.7,Unknown,table_p3_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Pyr_ngg,91.5,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Pyr_ngg,2.6,Unknown,table_p3_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Ant_ngg,47.5,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Ant_ngg,0.6,Unknown,table_p3_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Chr_ngg,49.2,Unknown,table_p3_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Chr_ngg,0.3,Unknown,table_p3_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Flt_ngg,57.6,Unknown,table_p3_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Flt_ngg,0.5,Unknown,table_p3_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Pyr_ngg,54.2,Unknown,table_p3_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Pyr_ngg,0.5,Unknown,table_p3_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Ant_ngg,10.2,Unknown,table_p3_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Ant_ngg,0.2,Unknown,table_p3_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Pyr_ngg,32.2,Unknown,table_p3_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Cd_mgkg,32.2,Unknown,table_p3_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Pyr_ngg,0.1,Unknown,table_p3_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Cd_mgkg,0.1,Unknown,table_p3_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Sum_PAH_ngg,100.0,Unknown,table_p3_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Sum_PAH_ngg,1.3,Unknown,table_p3_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,Sum_PAH_ngg,100.0,Unknown,table_p3_ri19_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,Sum_PAH_ngg,15.7,Unknown,table_p3_ri19_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
