paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Nap_ngg,2.0,Unknown,table_p4_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Acy_ngg,3.0,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Ace_ngg,3.0,Unknown,table_p4_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Flu_ngg,3.0,Unknown,table_p4_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Phe_ngg,3.0,Unknown,table_p4_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Ant_ngg,3.0,Unknown,table_p4_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Flt_ngg,4.0,Unknown,table_p4_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Pyr_ngg,4.0,Unknown,table_p4_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Ant_ngg,4.0,Unknown,table_p4_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Chr_ngg,4.0,Unknown,table_p4_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Flt_ngg,5.0,Unknown,table_p4_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Flt_ngg,5.0,Unknown,table_p4_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Pyr_ngg,5.0,Unknown,table_p4_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Pyr_ngg,6.0,Unknown,table_p4_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Cd_mgkg,6.0,Unknown,table_p4_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S004896972500018X,1-s2.0-S004896972500018X_Aromatic_rings,Ant_ngg,5.0,Unknown,table_p4_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
