paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Nap_ngg,5.96,Unknown,table_p28_ri1_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Ace_ngg,2.3,Unknown,table_p28_ri1_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Acy_ngg,2.22,Unknown,table_p28_ri1_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Phe_ngg,5.87,Unknown,table_p28_ri1_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Ant_ngg,6.43,Unknown,table_p28_ri1_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Pyr_ngg,2.92,Unknown,table_p28_ri1_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,BaA_ngg,7.65,Unknown,table_p29_ri1_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,BbF_ngg,1.91,Unknown,table_p29_ri1_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,BkF_ngg,1.74,Unknown,table_p29_ri1_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,BaP_ngg,1.26,Unknown,table_p29_ri1_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,BaA_ngg,9.76,Unknown,table_p29_ri2_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,BbF_ngg,4.14,Unknown,table_p29_ri2_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,BkF_ngg,1.35,Unknown,table_p29_ri2_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,BaP_ngg,4.08,Unknown,table_p29_ri2_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S3,BaA_ngg,7.88,Unknown,table_p29_ri3_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S3,BbF_ngg,6.5,Unknown,table_p29_ri3_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S3,BkF_ngg,7.54,Unknown,table_p29_ri3_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S3,BaP_ngg,2.69,Unknown,table_p29_ri3_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,BaA_ngg,4.11,Unknown,table_p29_ri4_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,BbF_ngg,1.76,Unknown,table_p29_ri4_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,BkF_ngg,1.22,Unknown,table_p29_ri4_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,BaP_ngg,1.92,Unknown,table_p29_ri4_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S5,BaA_ngg,8.8,Unknown,table_p29_ri5_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S5,BbF_ngg,6.78,Unknown,table_p29_ri5_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S5,BkF_ngg,8.42,Unknown,table_p29_ri5_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S5,BaP_ngg,2.95,Unknown,table_p29_ri5_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S6,BaA_ngg,2.9,Unknown,table_p29_ri6_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S6,BbF_ngg,4.11,Unknown,table_p29_ri6_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S6,BkF_ngg,2.1,Unknown,table_p29_ri6_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S6,BaP_ngg,5.79,Unknown,table_p29_ri6_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S7,BaA_ngg,3.48,Unknown,table_p29_ri7_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S7,BbF_ngg,2.55,Unknown,table_p29_ri7_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S7,BkF_ngg,2.48,Unknown,table_p29_ri7_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S7,BaP_ngg,4.25,Unknown,table_p29_ri7_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,Nap_ngg,2.5,Unknown,table_p30_ri1_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,Ace_ngg,2.24,Unknown,table_p30_ri1_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,Acy_ngg,1.14,Unknown,table_p30_ri1_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,Phe_ngg,4.19,Unknown,table_p30_ri1_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,Ant_ngg,0.5,Unknown,table_p30_ri1_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,Pyr_ngg,0.56,Unknown,table_p30_ri1_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,Nap_ngg,4.28,Unknown,table_p30_ri2_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,Ace_ngg,2.08,Unknown,table_p30_ri2_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,Acy_ngg,5.17,Unknown,table_p30_ri2_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,Phe_ngg,7.5,Unknown,table_p30_ri2_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,Ant_ngg,1.02,Unknown,table_p30_ri2_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
