paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,SumDDT_ngg,16.0,Unknown,table_p26_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_S_A_}_}$,SumDDT_ngg,2.3,Unknown,table_p26_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,SumDDT_ngg,50.0,Unknown,table_p26_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,SumPCB_ngg,11.0,Unknown,table_p26_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_S_A_}_}$,SumPCB_ngg,1.3,Unknown,table_p26_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,SumPCB_ngg,33.0,Unknown,table_p26_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,Co_mgkg,8.3,Unknown,table_p26_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_S_A_}_}$,Co_mgkg,6.2,Unknown,table_p26_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,Co_mgkg,1.1,Unknown,table_p26_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,SumDDT_ngg,21.0,Unknown,table_p26_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,SumDDT_ngg,52.0,Unknown,table_p26_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,SumPCB_ngg,5.6,Unknown,table_p26_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_S_A_}_}$,SumPCB_ngg,0.3,Unknown,table_p26_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,SumPCB_ngg,15.0,Unknown,table_p26_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,SumDDT_ngg,14.0,Unknown,table_p26_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_S_A_}_}$,SumDDT_ngg,6.8,Unknown,table_p26_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,SumDDT_ngg,38.0,Unknown,table_p26_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,SumPCB_ngg,8.6,Unknown,table_p26_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_S_A_}_}$,SumPCB_ngg,4.4,Unknown,table_p26_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,SumPCB_ngg,24.0,Unknown,table_p26_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
