paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70603_C3EM00043E,70603_C3EM00043E_EW1,Cu_mgkg,149.0,Unknown,table_p4_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW1,Zn_mgkg,140.0,Unknown,table_p4_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW1,Cr_mgkg,79.3,Unknown,table_p4_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW1,Ni_mgkg,22.4,Unknown,table_p4_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW1,Pb_mgkg,106.0,Unknown,table_p4_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW1,Cd_mgkg,0.69,Unknown,table_p4_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW1,V_mgkg,104.0,Unknown,table_p4_ri4_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW2,Zn_mgkg,469.0,Unknown,table_p4_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW2,Cr_mgkg,61.3,Unknown,table_p4_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW2,Ni_mgkg,27.3,Unknown,table_p4_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW2,Hg_mgkg,0.07,Unknown,table_p4_ri5_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW2,As_mgkg,11.2,Unknown,table_p4_ri5_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW2,Co_mgkg,5.82,Unknown,table_p4_ri5_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW2,V_mgkg,69.3,Unknown,table_p4_ri5_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW3,Cu_mgkg,948.0,Unknown,table_p4_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW3,Zn_mgkg,110.0,Unknown,table_p4_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW3,Cr_mgkg,91.5,Unknown,table_p4_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW3,Ni_mgkg,34.3,Unknown,table_p4_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW3,Pb_mgkg,514.0,Unknown,table_p4_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW3,Cd_mgkg,2.29,Unknown,table_p4_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW3,Hg_mgkg,0.4,Unknown,table_p4_ri6_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW3,As_mgkg,11.7,Unknown,table_p4_ri6_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW3,Co_mgkg,6.57,Unknown,table_p4_ri6_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW3,V_mgkg,83.2,Unknown,table_p4_ri6_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW1,SumPBDE_ngg,111.35,Unknown,table_p7_ri21_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW2,SumPBDE_ngg,1031.65,Unknown,table_p7_ri21_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70603_C3EM00043E,70603_C3EM00043E_EW3,SumPBDE_ngg,707.39,Unknown,table_p7_ri21_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
