paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Nap_ngg,12.12,Unknown,table_p4_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Nap_ngg,15.38,Unknown,table_p4_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Nap_ngg,40.15,Unknown,table_p4_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Nap_ngg,173.1,Unknown,table_p4_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Acy_ngg,2.1,Unknown,table_p4_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Acy_ngg,1.06,Unknown,table_p4_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Acy_ngg,20.03,Unknown,table_p4_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Acy_ngg,31.32,Unknown,table_p4_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Ace_ngg,0.48,Unknown,table_p4_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Ace_ngg,0.36,Unknown,table_p4_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Ace_ngg,5.58,Unknown,table_p4_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Ace_ngg,6.74,Unknown,table_p4_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Flu_ngg,1.7,Unknown,table_p4_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Flu_ngg,0.96,Unknown,table_p4_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Flu_ngg,21.78,Unknown,table_p4_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Flu_ngg,44.46,Unknown,table_p4_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Phe_ngg,19.52,Unknown,table_p4_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Phe_ngg,10.24,Unknown,table_p4_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Phe_ngg,168.7,Unknown,table_p4_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Phe_ngg,209.1,Unknown,table_p4_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Ant_ngg,2.44,Unknown,table_p4_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Ant_ngg,1.12,Unknown,table_p4_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Ant_ngg,119.2,Unknown,table_p4_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Ant_ngg,38.34,Unknown,table_p4_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Flt_ngg,16.54,Unknown,table_p4_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Flt_ngg,13.24,Unknown,table_p4_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Flt_ngg,254.5,Unknown,table_p4_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Flt_ngg,110.2,Unknown,table_p4_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Pyr_ngg,14.04,Unknown,table_p4_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Pyr_ngg,12.24,Unknown,table_p4_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Pyr_ngg,238.4,Unknown,table_p4_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Pyr_ngg,64.32,Unknown,table_p4_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_B(a)P_PEF,Ant_ngg,0.1,Unknown,table_p4_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Ant_ngg,5.92,Unknown,table_p4_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
