paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72207_10934529.2013.815500,72207_10934529.2013.815500_Rings,Phe_ngg,3.0,Unknown,table_p2_ri1_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
72207_10934529.2013.815500,72207_10934529.2013.815500_Percentage_(%),Phe_ngg,7.81,Unknown,table_p2_ri1_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
72207_10934529.2013.815500,72207_10934529.2013.815500_Rings,Flu_ngg,4.0,Unknown,table_p2_ri2_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
72207_10934529.2013.815500,72207_10934529.2013.815500_Rings,Flt_ngg,4.0,Unknown,table_p2_ri2_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
72207_10934529.2013.815500,72207_10934529.2013.815500_Percentage_(%),Flu_ngg,16.59,Unknown,table_p2_ri2_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
72207_10934529.2013.815500,72207_10934529.2013.815500_Percentage_(%),Flt_ngg,16.59,Unknown,table_p2_ri2_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
72207_10934529.2013.815500,72207_10934529.2013.815500_Rings,Pyr_ngg,4.0,Unknown,table_p2_ri3_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
72207_10934529.2013.815500,72207_10934529.2013.815500_Percentage_(%),Pyr_ngg,13.41,Unknown,table_p2_ri3_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
72207_10934529.2013.815500,72207_10934529.2013.815500_Rings,Ant_ngg,4.0,Unknown,table_p2_ri4_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
72207_10934529.2013.815500,72207_10934529.2013.815500_Rings,BaA_ngg,4.0,Unknown,table_p2_ri4_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
72207_10934529.2013.815500,72207_10934529.2013.815500_Percentage_(%),Ant_ngg,4.28,Unknown,table_p2_ri4_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
