paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Nap_ngg,64.2,Unknown,table_p5_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Acy_ngg,17.8,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Ace_ngg,45.4,Unknown,table_p5_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Flu_ngg,18.6,Unknown,table_p5_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Phe_ngg,6.33,Unknown,table_p5_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Ant_ngg,10.5,Unknown,table_p5_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Flt_ngg,1.49,Unknown,table_p5_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Pyr_ngg,1.53,Unknown,table_p5_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Ant_ngg,0.861,Unknown,table_p5_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Chr_ngg,0.183,Unknown,table_p5_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Flt_ngg,0.983,Unknown,table_p5_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Flt_ngg,0.0853,Unknown,table_p5_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Pyr_ngg,0.239,Unknown,table_p5_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Pyr_ngg,0.0124,Unknown,table_p5_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Cd_mgkg,0.0124,Unknown,table_p5_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),Ant_ngg,0.031,Unknown,table_p5_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
