paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,SumDDT_ngg,0.119,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,SumHCH_ngg,0.002,Unknown,table_p2_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Nap_ngg,1.65,Unknown,table_p2_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Phe_ngg,5.27,Unknown,table_p2_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Ace_ngg,0.57,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Ant_ngg,1.77,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Chr_ngg,4.86,Unknown,table_p2_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Flt_ngg,8.92,Unknown,table_p2_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Flu_ngg,0.85,Unknown,table_p2_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Flt_ngg,0.78,Unknown,table_p2_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Pyr_ngg,4.3,Unknown,table_p2_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Flt_ngg,3.87,Unknown,table_p2_ri19_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Flt_ngg,2.3,Unknown,table_p2_ri21_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Pyr_ngg,2.78,Unknown,table_p2_ri22_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Cd_mgkg,2.78,Unknown,table_p2_ri22_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
