paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Nap_ngg,0.18,Unknown,table_p8_ri4_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Acy_ngg,0.1,Unknown,table_p8_ri5_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Flu_ngg,0.12,Unknown,table_p8_ri7_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Phe_ngg,0.72,Unknown,table_p8_ri8_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Ant_ngg,0.72,Unknown,table_p8_ri8_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Flt_ngg,2.9650000000000003,Unknown,table_p8_ri10_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Pyr_ngg,1.48,Unknown,table_p8_ri11_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Ant_ngg,0.825,Unknown,table_p8_ri12_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Chr_ngg,1.845,Unknown,table_p8_ri13_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Sum_PAH_ngg,7.2700000000000005,Unknown,table_p8_ri14_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Flt_ngg,2.1,Unknown,table_p8_ri15_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
