paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P01797,L1,Cd_mgkg,0.2,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L1,As_mgkg,20,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L1,Pb_mgkg,50.3,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L1,Zn_mgkg,74.805,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L1,Cr_mgkg,61.1,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L1,Cu_mgkg,28.6,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L1,Ni_mgkg,28.8,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L2,Cd_mgkg,0.3,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L2,As_mgkg,30.1,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L2,Pb_mgkg,67.6,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L2,Zn_mgkg,84.255,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L2,Cr_mgkg,66.2,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L2,Cu_mgkg,30.3,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L2,Ni_mgkg,31,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L3,Cd_mgkg,0.3,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L3,As_mgkg,26.3,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L3,Pb_mgkg,61.2,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L3,Zn_mgkg,76.778,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L3,Cr_mgkg,65.1,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L3,Cu_mgkg,27.2,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,L3,Ni_mgkg,30.9,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M1,Cd_mgkg,3.31,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M1,As_mgkg,395,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M1,Pb_mgkg,614,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M1,Zn_mgkg,436,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M1,Cr_mgkg,89.4,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M1,Cu_mgkg,120,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M1,Ni_mgkg,28.5,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M2,Cd_mgkg,4.19,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M2,As_mgkg,527,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M2,Pb_mgkg,811,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M2,Zn_mgkg,405,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M2,Cr_mgkg,63.1,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M2,Cu_mgkg,118,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M2,Ni_mgkg,26.1,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M3,Cd_mgkg,3.31,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M3,As_mgkg,518,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M3,Pb_mgkg,902,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M3,Zn_mgkg,377,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M3,Cr_mgkg,85.6,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M3,Cu_mgkg,118,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,M3,Ni_mgkg,25.5,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,H1,Cd_mgkg,20.8,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,H1,As_mgkg,4547,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,H1,Pb_mgkg,10175,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,H1,Zn_mgkg,1704,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,H1,Cr_mgkg,69.7,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
P01797,H1,Cu_mgkg,458,mg/kg,SI Table 3,soil,unknown,unknown,SI Table 3直接读取;采样点分L/M/H三组(低/中/高污染梯度);SI仅含HM无OP数据
