paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
P02270,LT0,Cd_mgkg,1.343,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LT0,Pb_mgkg,162.5,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LT0,Cr_mgkg,19.84,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LT0,As_mgkg,9.615,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LT0,Hg_mgkg,0.393,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LT0,Cu_mgkg,287.5,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LT0,Zn_mgkg,174.9,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LT0,Ni_mgkg,12.91,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LT0,SumPBDE_ngg,2908,ng/g,Table 1,soil,e_waste,Guangdong,Table1 ∑PBDEs列直接读取(ng/g dw),23.5878,113.0583
P02270,LT0,SumPCB_ngg,1891,ng/g,Table 1,soil,e_waste,Guangdong,Table1 ∑PCBs列直接读取(ng/g dw),23.5878,113.0583
P02270,LY2.5,Cd_mgkg,2.564,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LY2.5,Pb_mgkg,41.7,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LY2.5,Cr_mgkg,28.98,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LY2.5,As_mgkg,24.06,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LY2.5,Hg_mgkg,0.197,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LY2.5,Cu_mgkg,21.78,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LY2.5,Zn_mgkg,95.8,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
P02270,LY2.5,Ni_mgkg,16.32,mg/kg,Table 2,soil,e_waste,Guangdong,Table2直接读取; 单位mg/kg(论文表头标注mg/g dw疑为mg/kg排版错误-数值范围与abstract Cd 0.082-2.56/Cu 3.22-287/Pb 16.3-162一致),23.5878,113.0583
