paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_$\mathrm_{_V_C_^_{_*_}_}$,Cr_mgkg,81.83,Unknown,table_p4_ri1_ci4,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Skewness,Cr_mgkg,2.24,Unknown,table_p4_ri1_ci5,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Background_concentration,Cr_mgkg,79.25,Unknown,table_p4_ri1_ci6,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Trigger**,Cr_mgkg,200.0,Unknown,table_p4_ri1_ci7,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_$\mathrm_{_V_C_^_{_*_}_}$,Ni_mgkg,36.08,Unknown,table_p4_ri2_ci4,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Skewness,Ni_mgkg,1.1,Unknown,table_p4_ri2_ci5,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Background_concentration,Ni_mgkg,37.53,Unknown,table_p4_ri2_ci6,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Trigger**,Ni_mgkg,40.0,Unknown,table_p4_ri2_ci7,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_$\mathrm_{_V_C_^_{_*_}_}$,Cu_mgkg,70.61,Unknown,table_p4_ri3_ci4,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Skewness,Cu_mgkg,3.32,Unknown,table_p4_ri3_ci5,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Background_concentration,Cu_mgkg,19.44,Unknown,table_p4_ri3_ci6,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Trigger**,Cu_mgkg,50.0,Unknown,table_p4_ri3_ci7,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_$\mathrm_{_V_C_^_{_*_}_}$,Zn_mgkg,67.79,Unknown,table_p4_ri4_ci4,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Skewness,Zn_mgkg,1.6,Unknown,table_p4_ri4_ci5,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Background_concentration,Zn_mgkg,85.26,Unknown,table_p4_ri4_ci6,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Trigger**,Zn_mgkg,200.0,Unknown,table_p4_ri4_ci7,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_$\mathrm_{_V_C_^_{_*_}_}$,As_mgkg,34.71,Unknown,table_p4_ri5_ci4,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Skewness,As_mgkg,1.67,Unknown,table_p4_ri5_ci5,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Background_concentration,As_mgkg,9.76,Unknown,table_p4_ri5_ci6,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_Trigger**,As_mgkg,20.0,Unknown,table_p4_ri5_ci7,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
Yintao Lu 等 - 2022 - Combined pollution of heavy m,Yintao Lu 等 - 2022 - Combined pollution of heavy m_$\mathrm_{_V_C_^_{_*_}_}$,Pb_mgkg,100.49,Unknown,table_p4_ri6_ci4,soil,,,phase14_batch2; matrix=score=98:high; conf=high; flag=,,
