paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_ijerph14101198,"_dup_ijerph14101198_Agriculture_Soils_(AS,_mg/kg)",Nap_ngg,2.4385,Unknown,table_p4_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_ijerph14101198,"_dup_ijerph14101198_Roadside_Soils_(RS,_mg/kg)",Nap_ngg,1.51,Unknown,table_p4_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,"_dup_ijerph14101198_Park_Green_Space_Soils_(PS,_mg/kg)",Nap_ngg,1.5,Unknown,table_p4_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,_dup_ijerph14101198_No._of_Ring,Acy_ngg,23.0,Unknown,table_p4_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,"_dup_ijerph14101198_Roadside_Soils_(RS,_mg/kg)",Acy_ngg,0.006,Unknown,table_p4_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,"_dup_ijerph14101198_Park_Green_Space_Soils_(PS,_mg/kg)",Acy_ngg,0.003,Unknown,table_p4_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,_dup_ijerph14101198_No._of_Ring,Ace_ngg,3.0,Unknown,table_p4_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,"_dup_ijerph14101198_Roadside_Soils_(RS,_mg/kg)",Ace_ngg,0.032,Unknown,table_p4_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,"_dup_ijerph14101198_Park_Green_Space_Soils_(PS,_mg/kg)",Ace_ngg,0.025,Unknown,table_p4_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,_dup_ijerph14101198_No._of_Ring,Flu_ngg,3.0,Unknown,table_p4_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,"_dup_ijerph14101198_Agriculture_Soils_(AS,_mg/kg)",Flu_ngg,0.20700000000000002,Unknown,table_p4_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_ijerph14101198,"_dup_ijerph14101198_Roadside_Soils_(RS,_mg/kg)",Flu_ngg,0.104,Unknown,table_p4_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,"_dup_ijerph14101198_Park_Green_Space_Soils_(PS,_mg/kg)",Flu_ngg,0.077,Unknown,table_p4_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,_dup_ijerph14101198_No._of_Ring,Ant_ngg,3.0,Unknown,table_p4_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,"_dup_ijerph14101198_Agriculture_Soils_(AS,_mg/kg)",Ant_ngg,2.296,Unknown,table_p4_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_ijerph14101198,"_dup_ijerph14101198_Roadside_Soils_(RS,_mg/kg)",Ant_ngg,0.992,Unknown,table_p4_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,"_dup_ijerph14101198_Park_Green_Space_Soils_(PS,_mg/kg)",Ant_ngg,0.701,Unknown,table_p4_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,_dup_ijerph14101198_No._of_Ring,Phe_ngg,3.0,Unknown,table_p4_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,"_dup_ijerph14101198_Agriculture_Soils_(AS,_mg/kg)",Phe_ngg,0.08850000000000001,Unknown,table_p4_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_ijerph14101198,"_dup_ijerph14101198_Roadside_Soils_(RS,_mg/kg)",Phe_ngg,0.038,Unknown,table_p4_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,"_dup_ijerph14101198_Park_Green_Space_Soils_(PS,_mg/kg)",Phe_ngg,0.024,Unknown,table_p4_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph14101198,_dup_ijerph14101198_No._of_Ring,Flt_ngg,4.0,Unknown,table_p4_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
