paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Flu_ngg,3.0,Unknown,table_p21_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Phe_ngg,3.0,Unknown,table_p21_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Ant_ngg,3.0,Unknown,table_p21_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Flu_ngg,4.0,Unknown,table_p21_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Flt_ngg,4.0,Unknown,table_p21_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Pyr_ngg,4.0,Unknown,table_p21_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Ant_ngg,4.0,Unknown,table_p21_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,BaA_ngg,4.0,Unknown,table_p21_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Chr_ngg,4.0,Unknown,table_p21_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Flt_ngg,5.0,Unknown,table_p21_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,BbF_ngg,5.0,Unknown,table_p21_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Flt_ngg,5.0,Unknown,table_p21_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,BkF_ngg,5.0,Unknown,table_p21_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Pyr_ngg,5.0,Unknown,table_p21_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,BaP_ngg,5.0,Unknown,table_p21_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Ant_ngg,5.0,Unknown,table_p21_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,DahA_ngg,5.0,Unknown,table_p21_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,BghiP_ngg,6.0,Unknown,table_p21_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Pyr_ngg,6.0,Unknown,table_p21_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Ind_ngg,6.0,Unknown,table_p21_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Cd_mgkg,6.0,Unknown,table_p21_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
