paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Chicken_feces_origin_(n_=_34),As_mgkg,13.875,Unknown,table_p3_ri3_ci1,soil,,,phase14_batch2; matrix=score=18:medium; conf=high; flag=range_mean,,
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Pig_feces_origin_(n_=_27),As_mgkg,5.96,Unknown,table_p3_ri3_ci2,soil,,,phase14_batch2; matrix=score=18:medium; conf=high; flag=,,
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Dairy_feces_origin_(n_=_18),As_mgkg,2.94,Unknown,table_p3_ri3_ci3,soil,,,phase14_batch2; matrix=score=18:medium; conf=high; flag=,,
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Plant_waste_origin_(n_=_15),As_mgkg,62.22,Unknown,table_p3_ri3_ci4,soil,,,phase14_batch2; matrix=score=18:medium; conf=high; flag=range_mean,,
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Total_(n_=_94),As_mgkg,12.13,Unknown,table_p3_ri3_ci5,soil,,,phase14_batch2; matrix=score=18:medium; conf=high; flag=,,
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Chicken_feces_origin_(n_=_34),Cd_mgkg,5.715,Unknown,table_p3_ri4_ci1,soil,,,phase14_batch2; matrix=score=18:medium; conf=high; flag=range_mean,,
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Pig_feces_origin_(n_=_27),Cd_mgkg,1.37,Unknown,table_p3_ri4_ci2,soil,,,phase14_batch2; matrix=score=18:medium; conf=high; flag=,,
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Dairy_feces_origin_(n_=_18),Cd_mgkg,8.82,Unknown,table_p3_ri4_ci3,soil,,,phase14_batch2; matrix=score=18:medium; conf=high; flag=,,
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Plant_waste_origin_(n_=_15),Cd_mgkg,1.4000000000000001,Unknown,table_p3_ri4_ci4,soil,,,phase14_batch2; matrix=score=18:medium; conf=high; flag=range_mean,,
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Chicken_feces_origin_(n_=_34),Cr_mgkg,126.095,Unknown,table_p3_ri5_ci1,soil,,,phase14_batch2; matrix=score=18:medium; conf=high; flag=range_mean,,
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Pig_feces_origin_(n_=_27),Cr_mgkg,39.66,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=18:medium; conf=high; flag=,,
