paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Nap_ngg,2.6,Unknown,table_p3_ri2_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Acy_ngg,2.1,Unknown,table_p3_ri3_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Ace_ngg,3.3,Unknown,table_p3_ri4_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Flu_ngg,2.0,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Phe_ngg,2.9,Unknown,table_p3_ri6_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Ant_ngg,2.8,Unknown,table_p3_ri7_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Flu_ngg,2.9,Unknown,table_p3_ri8_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Flt_ngg,2.9,Unknown,table_p3_ri8_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Pyr_ngg,3.0,Unknown,table_p3_ri9_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Ant_ngg,3.1,Unknown,table_p3_ri11_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,BaA_ngg,3.1,Unknown,table_p3_ri11_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Chr_ngg,3.3,Unknown,table_p3_ri12_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Flt_ngg,2.6,Unknown,table_p3_ri13_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,BbF_ngg,2.6,Unknown,table_p3_ri13_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Flt_ngg,3.2,Unknown,table_p3_ri14_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,BkF_ngg,3.2,Unknown,table_p3_ri14_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Pyr_ngg,2.1,Unknown,table_p3_ri15_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,BaP_ngg,2.1,Unknown,table_p3_ri15_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Pyr_ngg,3.2,Unknown,table_p3_ri16_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Cd_mgkg,3.2,Unknown,table_p3_ri16_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Ant_ngg,3.0,Unknown,table_p3_ri17_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Sum_PAH_ngg,2.6,Unknown,table_p3_ri20_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Sum_PAH_ngg,2.7,Unknown,table_p3_ri21_ci2,soil,,,phase14_batch2; matrix=score=136:high; conf=high; flag=,,
