paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Nap_ngg,2.0,Unknown,table_p3_ri1_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Nap_ngg,0.001,Unknown,table_p3_ri1_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Nap_ngg,100.0,Unknown,table_p3_ri1_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Acy_ngg,3.0,Unknown,table_p3_ri2_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Acy_ngg,0.001,Unknown,table_p3_ri2_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Acy_ngg,100.0,Unknown,table_p3_ri2_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Ace_ngg,3.0,Unknown,table_p3_ri3_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Ace_ngg,0.001,Unknown,table_p3_ri3_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Ace_ngg,100.0,Unknown,table_p3_ri3_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Flu_ngg,3.0,Unknown,table_p3_ri4_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Flu_ngg,0.001,Unknown,table_p3_ri4_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Flu_ngg,100.0,Unknown,table_p3_ri4_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Phe_ngg,3.0,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Phe_ngg,0.001,Unknown,table_p3_ri5_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Phe_ngg,100.0,Unknown,table_p3_ri5_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Ant_ngg,3.0,Unknown,table_p3_ri6_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Ant_ngg,0.01,Unknown,table_p3_ri6_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Ant_ngg,10.0,Unknown,table_p3_ri6_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Flt_ngg,4.0,Unknown,table_p3_ri7_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Flt_ngg,0.001,Unknown,table_p3_ri7_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Flt_ngg,100.0,Unknown,table_p3_ri7_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Pyr_ngg,4.0,Unknown,table_p3_ri8_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Pyr_ngg,0.001,Unknown,table_p3_ri8_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Pyr_ngg,100.0,Unknown,table_p3_ri8_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Ant_ngg,4.0,Unknown,table_p3_ri9_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Ant_ngg,0.1,Unknown,table_p3_ri9_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Ant_ngg,1.0,Unknown,table_p3_ri9_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Chr_ngg,4.0,Unknown,table_p3_ri10_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Chr_ngg,0.01,Unknown,table_p3_ri10_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Chr_ngg,10.0,Unknown,table_p3_ri10_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Flt_ngg,5.0,Unknown,table_p3_ri11_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Flt_ngg,0.1,Unknown,table_p3_ri11_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Flt_ngg,1.0,Unknown,table_p3_ri11_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Flt_ngg,5.0,Unknown,table_p3_ri12_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Flt_ngg,0.1,Unknown,table_p3_ri12_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
