paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s10661-019-7476-2,s10661-019-7476-2_Road_green_space,Cu_mgkg,39.9,Unknown,table_p6_ri2_ci2,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
s10661-019-7476-2,s10661-019-7476-2_1_Screening_level²_(mg/kg),Cu_mgkg,45.3,Unknown,table_p6_ri2_ci4,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
s10661-019-7476-2,s10661-019-7476-2_Screening_level³,Cu_mgkg,28.6,Unknown,table_p6_ri2_ci5,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
s10661-019-7476-2,s10661-019-7476-2_Road_green_space,Zn_mgkg,29.6,Unknown,table_p6_ri3_ci2,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
s10661-019-7476-2,s10661-019-7476-2_1_Screening_level²_(mg/kg),Zn_mgkg,52.9,Unknown,table_p6_ri3_ci4,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
s10661-019-7476-2,s10661-019-7476-2_Screening_level³,Zn_mgkg,86.1,Unknown,table_p6_ri3_ci5,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
s10661-019-7476-2,s10661-019-7476-2_Road_green_space,Pb_mgkg,44.0,Unknown,table_p6_ri4_ci2,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
s10661-019-7476-2,s10661-019-7476-2_1_Screening_level²_(mg/kg),Pb_mgkg,63.5,Unknown,table_p6_ri4_ci4,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
s10661-019-7476-2,s10661-019-7476-2_Screening_level³,Pb_mgkg,25.5,Unknown,table_p6_ri4_ci5,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
s10661-019-7476-2,s10661-019-7476-2_Road_green_space,Cd_mgkg,34.5,Unknown,table_p6_ri5_ci2,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
s10661-019-7476-2,s10661-019-7476-2_1_Screening_level²_(mg/kg),Cd_mgkg,53.2,Unknown,table_p6_ri5_ci4,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
s10661-019-7476-2,s10661-019-7476-2_Road_green_space,As_mgkg,29.5,Unknown,table_p6_ri6_ci2,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
s10661-019-7476-2,s10661-019-7476-2_1_Screening_level²_(mg/kg),As_mgkg,36.5,Unknown,table_p6_ri6_ci4,soil,,,phase14_batch2; matrix=score=277:high; conf=high; flag=,,
