paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s11356-021-15532-8,s11356-021-15532-8_Skew,Nap_ngg,1.57,Unknown,table_p5_ri1_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,Nap_ngg,100.0,Unknown,table_p5_ri1_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,Mn_mgkg,2.07,Unknown,table_p5_ri2_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,Mn_mgkg,100.0,Unknown,table_p5_ri2_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,Mn_mgkg,2.05,Unknown,table_p5_ri3_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,Mn_mgkg,100.0,Unknown,table_p5_ri3_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,Acy_ngg,7.06,Unknown,table_p5_ri4_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,Acy_ngg,100.0,Unknown,table_p5_ri4_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,Ace_ngg,2.36,Unknown,table_p5_ri5_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,Ace_ngg,100.0,Unknown,table_p5_ri5_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,Phe_ngg,6.56,Unknown,table_p5_ri7_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,Phe_ngg,100.0,Unknown,table_p5_ri7_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,Ant_ngg,4.41,Unknown,table_p5_ri8_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,Ant_ngg,100.0,Unknown,table_p5_ri8_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,Flu_ngg,4.75,Unknown,table_p5_ri10_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,Flu_ngg,100.0,Unknown,table_p5_ri10_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,Pyr_ngg,4.88,Unknown,table_p5_ri11_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,Pyr_ngg,100.0,Unknown,table_p5_ri11_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,BaA_ngg,4.12,Unknown,table_p5_ri12_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,BaA_ngg,100.0,Unknown,table_p5_ri12_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,Chr_ngg,3.96,Unknown,table_p5_ri13_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,Chr_ngg,100.0,Unknown,table_p5_ri13_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,BbF_ngg,5.46,Unknown,table_p5_ri14_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,BbF_ngg,100.0,Unknown,table_p5_ri14_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,BkF_ngg,3.55,Unknown,table_p5_ri15_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,BkF_ngg,100.0,Unknown,table_p5_ri15_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_Skew,BaP_ngg,3.59,Unknown,table_p5_ri17_ci6,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,BaP_ngg,100.0,Unknown,table_p5_ri17_ci7,dust,,,phase14_batch2; matrix=score=125:high; conf=high; flag=,,
