paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s41598-022-15285-5,s41598-022-15285-5_Aromatic_ring,Nap_ngg,2.0,Unknown,table_p3_ri2_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Concentration_(ng_g⁻¹),Nap_ngg,3.0,Unknown,table_p3_ri2_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Aromatic_ring,Acy_ngg,3.0,Unknown,table_p3_ri3_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Concentration_(ng_g⁻¹),Acy_ngg,7.0,Unknown,table_p3_ri3_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Aromatic_ring,Ace_ngg,3.0,Unknown,table_p3_ri4_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Concentration_(ng_g⁻¹),Ace_ngg,10.29,Unknown,table_p3_ri4_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Aromatic_ring,Flu_ngg,3.0,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Concentration_(ng_g⁻¹),Flu_ngg,8.44,Unknown,table_p3_ri5_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Aromatic_ring,Phe_ngg,3.0,Unknown,table_p3_ri6_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Concentration_(ng_g⁻¹),Phe_ngg,56.7,Unknown,table_p3_ri6_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Aromatic_ring,Ant_ngg,3.0,Unknown,table_p3_ri7_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Concentration_(ng_g⁻¹),Ant_ngg,44.17,Unknown,table_p3_ri7_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Aromatic_ring,Flt_ngg,4.0,Unknown,table_p3_ri8_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Concentration_(ng_g⁻¹),Flt_ngg,86.69,Unknown,table_p3_ri8_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Aromatic_ring,Pyr_ngg,4.0,Unknown,table_p3_ri9_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Concentration_(ng_g⁻¹),Pyr_ngg,163.7,Unknown,table_p3_ri9_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Aromatic_ring,Ant_ngg,4.0,Unknown,table_p3_ri10_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Concentration_(ng_g⁻¹),Ant_ngg,133.4,Unknown,table_p3_ri10_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Aromatic_ring,Chr_ngg,4.0,Unknown,table_p3_ri11_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Concentration_(ng_g⁻¹),Chr_ngg,80.66,Unknown,table_p3_ri11_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Aromatic_ring,Pyr_ngg,5.0,Unknown,table_p3_ri14_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
