paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,As_mgkg,11.11,Unknown,table_p7_ri1_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Cu_mgkg,26.92,Unknown,table_p7_ri1_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Pb_mgkg,14.03,Unknown,table_p7_ri1_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Ni_mgkg,44.33,Unknown,table_p7_ri1_ci6,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Mn_mgkg,513.92,Unknown,table_p7_ri1_ci8,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Co_mgkg,15.96,Unknown,table_p7_ri1_ci9,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Be_mgkg,2.43,Unknown,table_p7_ri1_ci11,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Min_(μg/g),As_mgkg,6.97,Unknown,table_p7_ri2_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Min_(μg/g),Cu_mgkg,14.0,Unknown,table_p7_ri2_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Min_(μg/g),Pb_mgkg,7.7,Unknown,table_p7_ri2_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Min_(μg/g),Ni_mgkg,32.0,Unknown,table_p7_ri2_ci6,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
