paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_次序,Cd_mgkg,5.0,Unknown,table_p6_ri2_ci2,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_次序,Cu_mgkg,11.0,Unknown,table_p6_ri3_ci2,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_次序,Pb_mgkg,10.0,Unknown,table_p6_ri5_ci2,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_次序,Ni_mgkg,8.0,Unknown,table_p6_ri7_ci2,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_权重,Sum_PAH_ngg,0.129,Unknown,table_p6_ri9_ci1,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_次序,Sum_PAH_ngg,3.0,Unknown,table_p6_ri9_ci2,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_权重,Sum_PAH_ngg,0.102,Unknown,table_p6_ri10_ci1,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_次序,Sum_PAH_ngg,4.0,Unknown,table_p6_ri10_ci2,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_权重,Sum_PAH_ngg,0.054,Unknown,table_p6_ri11_ci1,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_次序,Sum_PAH_ngg,7.0,Unknown,table_p6_ri11_ci2,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_权重,Sum_PAH_ngg,0.067,Unknown,table_p6_ri12_ci1,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_次序,Sum_PAH_ngg,6.0,Unknown,table_p6_ri12_ci2,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_权重,Sum_PAH_ngg,0.17,Unknown,table_p6_ri13_ci1,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏,上海污水厂污泥园林绿化利用潜力与复合生态风险评估_詹咏_次序,Sum_PAH_ngg,2.0,Unknown,table_p6_ri13_ci2,soil,,,phase14_batch2; matrix=score=25:high; conf=high; flag=,,
