paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,OC_pct,8.7,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,OC_pct,1.9,Unknown,table_p4_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,OC_pct,1.1,Unknown,table_p4_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_1,OC_pct,6.9,Unknown,table_p4_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_2,OC_pct,0.2,Unknown,table_p4_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_3,OC_pct,5.8,Unknown,table_p4_ri2_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_4,OC_pct,0.9,Unknown,table_p4_ri2_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,OPEs_ngg,8005.0,Unknown,table_p4_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,OPEs_ngg,112.0,Unknown,table_p4_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,OPEs_ngg,1.2,Unknown,table_p4_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,OPEs_ngg,3.5,Unknown,table_p4_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_1,OPEs_ngg,6.3,Unknown,table_p4_ri17_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_2,OPEs_ngg,0.5,Unknown,table_p4_ri17_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_3,OPEs_ngg,19.0,Unknown,table_p4_ri17_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_4,OPEs_ngg,76.0,Unknown,table_p4_ri17_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPBDE_ngg,423.0,Unknown,table_p4_ri29_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPBDE_ngg,39.0,Unknown,table_p4_ri29_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPBDE_ngg,18.0,Unknown,table_p4_ri29_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumPBDE_ngg,0.05,Unknown,table_p4_ri29_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_1,SumPBDE_ngg,3.6,Unknown,table_p4_ri29_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_2,SumPBDE_ngg,0.08,Unknown,table_p4_ri29_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_3,SumPBDE_ngg,4.4,Unknown,table_p4_ri29_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_4,SumPBDE_ngg,0.16,Unknown,table_p4_ri29_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,3.1,Unknown,table_p4_ri30_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,3.34,Unknown,table_p4_ri30_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPCB_ngg,0.33,Unknown,table_p4_ri30_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumPCB_ngg,0.1,Unknown,table_p4_ri30_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
