paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_CAS,SumDDT_ngg,39.5,Unknown,table_p5_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_Screening_values,SumDDT_ngg,2.0,Unknown,table_p5_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_Intervention_value,SumDDT_ngg,21.0,Unknown,table_p5_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_Maximum,SumDDT_ngg,0.308,Unknown,table_p5_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_CAS,SumHCH_ngg,201.5,Unknown,table_p5_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_Screening_values,SumHCH_ngg,0.09,Unknown,table_p5_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_Intervention_value,SumHCH_ngg,0.9,Unknown,table_p5_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_Maximum,SumHCH_ngg,0.005,Unknown,table_p5_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_CAS,SumHCH_ngg,202.0,Unknown,table_p5_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_Screening_values,SumHCH_ngg,0.32,Unknown,table_p5_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_Intervention_value,SumHCH_ngg,3.2,Unknown,table_p5_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_Maximum,SumHCH_ngg,0.009,Unknown,table_p5_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_CAS,SumHCH_ngg,73.5,Unknown,table_p5_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_Screening_values,SumHCH_ngg,0.62,Unknown,table_p5_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_Intervention_value,SumHCH_ngg,6.2,Unknown,table_p5_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935124008922,1-s2.0-S0013935124008922_Maximum,SumHCH_ngg,0.007,Unknown,table_p5_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
