paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_1st_quartile,Pyr_ngg,24.67,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_3rd_quartile,Pyr_ngg,37.54,Unknown,table_p5_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_1st_quartile,Flt_ngg,11.98,Unknown,table_p5_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_3rd_quartile,Flt_ngg,21.77,Unknown,table_p5_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_1st_quartile,Phe_ngg,12.73,Unknown,table_p5_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_3rd_quartile,Phe_ngg,26.52,Unknown,table_p5_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_1st_quartile,Phe_ngg,11.51,Unknown,table_p5_ri19_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_3rd_quartile,Phe_ngg,50.52,Unknown,table_p5_ri19_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_1st_quartile,Nap_ngg,1.34,Unknown,table_p5_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_3rd_quartile,Nap_ngg,3.5,Unknown,table_p5_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_1st_quartile,Phe_ngg,5.78,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_3rd_quartile,Phe_ngg,15.15,Unknown,table_p5_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_1st_quartile,Flu_ngg,2.19,Unknown,table_p5_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_3rd_quartile,Flu_ngg,5.65,Unknown,table_p5_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_1st_quartile,Nap_ngg,5.83,Unknown,table_p5_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_3rd_quartile,Nap_ngg,21.38,Unknown,table_p5_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_1st_quartile,Ace_ngg,4.08,Unknown,table_p5_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_3rd_quartile,Ace_ngg,13.32,Unknown,table_p5_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_1st_quartile,Ant_ngg,1.89,Unknown,table_p5_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721063567,1-s2.0-S0048969721063567_3rd_quartile,Ant_ngg,1.94,Unknown,table_p5_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
