paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Chengde,BaA_ngg,11.7,Unknown,table_p4_ri2_ci9,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Chengde,Chr_ngg,16.3,Unknown,table_p4_ri2_ci10,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Chengde,BbF_ngg,16.3,Unknown,table_p4_ri2_ci10,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Chengde,BaP_ngg,8.32,Unknown,table_p4_ri2_ci12,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Chengde,Ind_ngg,9.16,Unknown,table_p4_ri2_ci13,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Chengde,BghiP_ngg,11.1,Unknown,table_p4_ri2_ci15,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Chengde,Sum_PAH_ngg,56.5,Unknown,table_p4_ri2_ci16,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Chengde,Sum_PAH_ngg,161.0,Unknown,table_p4_ri2_ci18,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,Nap_ngg,22.4165,Unknown,table_p4_ri3_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,Phe_ngg,17.4357,Unknown,table_p4_ri3_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,Ant_ngg,3.72,Unknown,table_p4_ri3_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,Flt_ngg,12.9,Unknown,table_p4_ri3_ci7,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,Pyr_ngg,12.3396,Unknown,table_p4_ri3_ci8,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,BaA_ngg,6.94533,Unknown,table_p4_ri3_ci9,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,Chr_ngg,786.0,Unknown,table_p4_ri3_ci10,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,BbF_ngg,786.0,Unknown,table_p4_ri3_ci10,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,BkF_ngg,6.17273,Unknown,table_p4_ri3_ci11,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,BaP_ngg,451.0,Unknown,table_p4_ri3_ci12,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,Ind_ngg,416.0,Unknown,table_p4_ri3_ci13,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,BghiP_ngg,466.0,Unknown,table_p4_ri3_ci15,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,Sum_PAH_ngg,521.0,Unknown,table_p4_ri3_ci16,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Min_Max,Sum_PAH_ngg,1728.0,Unknown,table_p4_ri3_ci18,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Nap_ngg,35.5,Unknown,table_p4_ri6_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Phe_ngg,62.0,Unknown,table_p4_ri6_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Ant_ngg,8.73,Unknown,table_p4_ri6_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Flt_ngg,46.6,Unknown,table_p4_ri6_ci7,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Pyr_ngg,35.4,Unknown,table_p4_ri6_ci8,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,BaA_ngg,21.2,Unknown,table_p4_ri6_ci9,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Chr_ngg,119.0,Unknown,table_p4_ri6_ci10,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,BbF_ngg,119.0,Unknown,table_p4_ri6_ci10,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,BkF_ngg,25.0,Unknown,table_p4_ri6_ci11,soil,industrial,,phase14_auto; confidence=high; flag=,,
