paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Minimum_value,Nap_ngg,0.12,Unknown,table_p3_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Maximum_value,Nap_ngg,0.63,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Mean_value,Nap_ngg,0.3,Unknown,table_p3_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Standard_deviation,Nap_ngg,0.14,Unknown,table_p3_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Minimum_value,Acy_ngg,0.02,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Maximum_value,Acy_ngg,0.76,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Mean_value,Acy_ngg,0.12,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Standard_deviation,Acy_ngg,0.16,Unknown,table_p3_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Minimum_value,Ace_ngg,0.03,Unknown,table_p3_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Maximum_value,Ace_ngg,0.79,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Mean_value,Ace_ngg,0.15,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Standard_deviation,Ace_ngg,0.17,Unknown,table_p3_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Minimum_value,Phe_ngg,0.4,Unknown,table_p3_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Maximum_value,Phe_ngg,18.84,Unknown,table_p3_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Mean_value,Phe_ngg,2.75,Unknown,table_p3_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423020897,1-s2.0-S0304389423020897_Standard_deviation,Phe_ngg,3.91,Unknown,table_p3_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
