paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,Acy_ngg,0.032,Unknown,table_p2_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,Phe_ngg,0.047,Unknown,table_p2_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,Phe_ngg,0.542,Unknown,table_p2_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,Flu_ngg,0.069,Unknown,table_p2_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,Flu_ngg,0.993,Unknown,table_p2_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,Pyr_ngg,0.051,Unknown,table_p2_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,Pyr_ngg,0.75,Unknown,table_p2_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,BaA_ngg,0.026,Unknown,table_p2_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,BaA_ngg,0.412,Unknown,table_p2_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,Chr_ngg,0.053,Unknown,table_p2_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,Chr_ngg,0.665,Unknown,table_p2_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,BbF_ngg,0.036,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,BbF_ngg,0.543,Unknown,table_p2_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,BkF_ngg,0.018,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,BkF_ngg,0.308,Unknown,table_p2_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,BaP_ngg,0.023,Unknown,table_p2_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,BaP_ngg,0.402,Unknown,table_p2_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,BghiP_ngg,0.01,Unknown,table_p2_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,BghiP_ngg,0.33,Unknown,table_p2_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,Sum_PAH_ngg,0.088,Unknown,table_p2_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,Sum_PAH_ngg,1.288,Unknown,table_p2_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,Sum_PAH_ngg,0.325,Unknown,table_p2_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,Sum_PAH_ngg,4.683,Unknown,table_p2_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,Sum_PAH_ngg,0.151,Unknown,table_p2_ri19_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,Sum_PAH_ngg,2.2,Unknown,table_p2_ri19_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Min.,Sum_PAH_ngg,0.467,Unknown,table_p2_ri20_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074206600193,1-s2.0-S1001074206600193_Max.,Sum_PAH_ngg,5.47,Unknown,table_p2_ri20_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
