paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S1001074208624304,1-s2.0-S1001074208624304_Number_of_detected_samples,SumHCH_ngg,17.0,Unknown,table_p2_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074208624304,1-s2.0-S1001074208624304_Minimum,SumHCH_ngg,24.5,Unknown,table_p2_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074208624304,1-s2.0-S1001074208624304_Maximum,SumHCH_ngg,2870.0,Unknown,table_p2_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074208624304,1-s2.0-S1001074208624304_Number_of_detected_samples,SumHCH_ngg,16.0,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074208624304,1-s2.0-S1001074208624304_Maximum,SumHCH_ngg,48200.0,Unknown,table_p2_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074208624304,1-s2.0-S1001074208624304_Number_of_detected_samples,SumHCH_ngg,17.0,Unknown,table_p2_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074208624304,1-s2.0-S1001074208624304_Minimum,SumHCH_ngg,10.8,Unknown,table_p2_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074208624304,1-s2.0-S1001074208624304_Maximum,SumHCH_ngg,726.0,Unknown,table_p2_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074208624304,1-s2.0-S1001074208624304_Number_of_detected_samples,SumHCH_ngg,17.0,Unknown,table_p2_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074208624304,1-s2.0-S1001074208624304_Minimum,SumHCH_ngg,136.0,Unknown,table_p2_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074208624304,1-s2.0-S1001074208624304_Maximum,SumHCH_ngg,51800.0,Unknown,table_p2_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
