paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
15320383.2013.768201,"15320383.2013.768201_Beijing,_China",Sum_PAH_ngg,16.0,Unknown,table_p6_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2013.768201,"15320383.2013.768201_Beijing,_China",Sum_PAH_ngg,258.5,Unknown,table_p6_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
15320383.2013.768201,"15320383.2013.768201_Shanghai,_China",Sum_PAH_ngg,16.0,Unknown,table_p6_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2013.768201,"15320383.2013.768201_Shanghai,_China",Sum_PAH_ngg,46.7,Unknown,table_p6_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
15320383.2013.768201,"15320383.2013.768201_Shenzhen,_China",Sum_PAH_ngg,28.0,Unknown,table_p6_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2013.768201,"15320383.2013.768201_Shenzhen,_China",Sum_PAH_ngg,9.84,Unknown,table_p6_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
15320383.2013.768201,"15320383.2013.768201_Dalian,_China",Sum_PAH_ngg,14.0,Unknown,table_p6_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2013.768201,"15320383.2013.768201_Dalian,_China",Sum_PAH_ngg,118.5,Unknown,table_p6_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
15320383.2013.768201,"15320383.2013.768201_Hong_Kong,_China",Sum_PAH_ngg,16.0,Unknown,table_p6_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2013.768201,"15320383.2013.768201_Bayreuth,_Germany",Sum_PAH_ngg,20.0,Unknown,table_p6_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2013.768201,"15320383.2013.768201_Bayreuth,_Germany",Sum_PAH_ngg,93.14,Unknown,table_p6_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
15320383.2013.768201,"15320383.2013.768201_Tarragona,_Spain",Sum_PAH_ngg,16.0,Unknown,table_p6_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2013.768201,"15320383.2013.768201_Tarragona,_Spain",Sum_PAH_ngg,56.5,Unknown,table_p6_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
15320383.2013.768201,"15320383.2013.768201_Glasgow,_UK",Sum_PAH_ngg,15.0,Unknown,table_p6_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2013.768201,"15320383.2013.768201_Glasgow,_UK",Sum_PAH_ngg,769.0,Unknown,table_p6_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
15320383.2013.768201,"15320383.2013.768201_Kathmandu,",Sum_PAH_ngg,20.0,Unknown,table_p6_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2013.768201,"15320383.2013.768201_Kathmandu,",Sum_PAH_ngg,97.0,Unknown,table_p6_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
15320383.2013.768201,"15320383.2013.768201_Nepal_New_Orlean,",Sum_PAH_ngg,16.0,Unknown,table_p6_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2013.768201,"15320383.2013.768201_Nepal_New_Orlean,",Sum_PAH_ngg,343.5,Unknown,table_p6_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
15320383.2013.768201,"15320383.2013.768201_USA_Chiang-Mai,",Sum_PAH_ngg,16.0,Unknown,table_p6_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2013.768201,"15320383.2013.768201_USA_Chiang-Mai,",Sum_PAH_ngg,103.5,Unknown,table_p6_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
15320383.2013.768201,"15320383.2013.768201_Thailand_Kunming,_China",Sum_PAH_ngg,15.0,Unknown,table_p6_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2013.768201,"15320383.2013.768201_Thailand_Kunming,_China",Sum_PAH_ngg,3154.945,Unknown,table_p6_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
