paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Central,Flu_ngg,190.65,Unknown,table_p5_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Green,Flu_ngg,8.2,Unknown,table_p5_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Central,Phe_ngg,3483.0,Unknown,table_p5_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Green,Phe_ngg,72.1,Unknown,table_p5_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Central,Ant_ngg,845.6,Unknown,table_p5_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Green,Ant_ngg,33.05,Unknown,table_p5_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Central,Chr_ngg,3761.5,Unknown,table_p5_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Residential,Chr_ngg,162.5,Unknown,table_p5_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Green,Chr_ngg,58.25,Unknown,table_p5_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Central,BaA_ngg,4364.5,Unknown,table_p5_ri20_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Residential,BaA_ngg,227.0,Unknown,table_p5_ri20_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Green,BaA_ngg,95.4,Unknown,table_p5_ri20_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Central,BkF_ngg,2224.0,Unknown,table_p5_ri22_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Residential,BkF_ngg,222.5,Unknown,table_p5_ri22_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Green,BkF_ngg,52.900000000000006,Unknown,table_p5_ri22_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Central,BbF_ngg,604.7,Unknown,table_p5_ri24_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Residential,BbF_ngg,148.0,Unknown,table_p5_ri24_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Green,BbF_ngg,28.25,Unknown,table_p5_ri24_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Central,BaP_ngg,2186.0,Unknown,table_p5_ri26_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Residential,BaP_ngg,126.5,Unknown,table_p5_ri26_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Green,BaP_ngg,60.2,Unknown,table_p5_ri26_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Central,Sum_PAH_ngg,30951.0,Unknown,table_p5_ri32_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Residential,Sum_PAH_ngg,1840.0,Unknown,table_p5_ri32_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66390_j.chemosphere.2019.04.209,66390_j.chemosphere.2019.04.209_Green,Sum_PAH_ngg,767.0,Unknown,table_p5_ri32_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
