paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_1,Sum_PAH_ngg,9.6,Unknown,table_p2_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_1,Sum_PAH_ngg,56.0,Unknown,table_p2_ri1_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_2,Sum_PAH_ngg,30.0,Unknown,table_p2_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_3,Sum_PAH_ngg,20.0,Unknown,table_p2_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_4,Sum_PAH_ngg,6.6,Unknown,table_p2_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_4,Sum_PAH_ngg,33.0,Unknown,table_p2_ri4_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_5,Sum_PAH_ngg,19.0,Unknown,table_p2_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_6,Sum_PAH_ngg,20.0,Unknown,table_p2_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_7,Sum_PAH_ngg,14.0,Unknown,table_p2_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_7,Sum_PAH_ngg,64.0,Unknown,table_p2_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_8,Sum_PAH_ngg,16.0,Unknown,table_p2_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_8,Sum_PAH_ngg,90.0,Unknown,table_p2_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_9,Sum_PAH_ngg,21.0,Unknown,table_p2_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_No.of_ring,Nap_ngg,2.0,Unknown,table_p4_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_EFa,Nap_ngg,0.001,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_SQGsb,Nap_ngg,600.0,Unknown,table_p4_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_$\mathrm_{_T_o_t_a_l_}_\_(_n_=_1_6_4_)$,Nap_ngg,23.0,Unknown,table_p4_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_No.of_ring,Acy_ngg,3.0,Unknown,table_p4_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_EFa,Acy_ngg,0.001,Unknown,table_p4_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_SQGsb,Acy_ngg,320.0,Unknown,table_p4_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_$\mathrm_{_T_o_t_a_l_}_\_(_n_=_1_6_4_)$,Acy_ngg,0.78,Unknown,table_p4_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_No.of_ring,Phe_ngg,3.0,Unknown,table_p4_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_EFa,Phe_ngg,0.001,Unknown,table_p4_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_SQGsb,Phe_ngg,100.0,Unknown,table_p4_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,"66799_j.scitotenv.2016.03.006_Tibetan_Plateau,_China_(n_=_65)",Phe_ngg,137.7,Unknown,table_p4_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_$\mathrm_{_T_o_t_a_l_}_\_(_n_=_1_6_4_)$,Phe_ngg,27.0,Unknown,table_p4_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_No.of_ring,Ant_ngg,3.0,Unknown,table_p4_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
66799_j.scitotenv.2016.03.006,66799_j.scitotenv.2016.03.006_EFa,Ant_ngg,0.01,Unknown,table_p4_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
