paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70597_c0em00470g,70597_c0em00470g_Runoff_fluxes_(kg/year),Acy_ngg,0.0,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Degradation_(kg/year),Acy_ngg,0.0,Unknown,table_p4_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Inventory_(tons/year),Acy_ngg,0.5,Unknown,table_p4_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Residue_(tons/year),Acy_ngg,0.4,Unknown,table_p4_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Runoff_fluxes_(kg/year),Phe_ngg,0.9,Unknown,table_p4_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Degradation_(kg/year),Phe_ngg,2.7,Unknown,table_p4_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Inventory_(tons/year),Phe_ngg,183.0,Unknown,table_p4_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Residue_(tons/year),Phe_ngg,58.0,Unknown,table_p4_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Runoff_fluxes_(kg/year),Ant_ngg,0.0,Unknown,table_p4_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Degradation_(kg/year),Ant_ngg,0.0,Unknown,table_p4_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Inventory_(tons/year),Ant_ngg,0.3,Unknown,table_p4_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Residue_(tons/year),Ant_ngg,0.2,Unknown,table_p4_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Runoff_fluxes_(kg/year),Pyr_ngg,0.1,Unknown,table_p4_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Degradation_(kg/year),Pyr_ngg,0.2,Unknown,table_p4_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Inventory_(tons/year),Pyr_ngg,13.0,Unknown,table_p4_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Residue_(tons/year),Pyr_ngg,2.6,Unknown,table_p4_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Runoff_fluxes_(kg/year),BaA_ngg,0.1,Unknown,table_p4_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Degradation_(kg/year),BaA_ngg,0.3,Unknown,table_p4_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Inventory_(tons/year),BaA_ngg,19.0,Unknown,table_p4_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Residue_(tons/year),BaA_ngg,196.0,Unknown,table_p4_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Runoff_fluxes_(kg/year),Chr_ngg,0.3,Unknown,table_p4_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Degradation_(kg/year),Chr_ngg,0.8,Unknown,table_p4_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70597_c0em00470g,70597_c0em00470g_Inventory_(tons/year),Chr_ngg,55.0,Unknown,table_p4_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
