paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70598_c0em00737d,70598_c0em00737d_Std.dev,SumHCH_ngg,43.5,Unknown,table_p2_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_95%_conf.,SumHCH_ngg,8.38,Unknown,table_p2_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Min.,SumHCH_ngg,0.35,Unknown,table_p2_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Max.,SumHCH_ngg,281.0,Unknown,table_p2_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Std.dev,SumDDT_ngg,78.6,Unknown,table_p2_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_95%_conf.,SumDDT_ngg,93.0,Unknown,table_p2_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Min.,SumDDT_ngg,1.93,Unknown,table_p2_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Max.,SumDDT_ngg,199.0,Unknown,table_p2_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Forest,SumHCH_ngg,27.0,Unknown,table_p3_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Traffic,SumHCH_ngg,88.0,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Industry,SumHCH_ngg,33.0,Unknown,table_p3_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Greenbelt,SumHCH_ngg,38.0,Unknown,table_p3_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Commerce,SumHCH_ngg,62.0,Unknown,table_p3_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Agriculture,SumHCH_ngg,23.0,Unknown,table_p3_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Orchard,SumHCH_ngg,19.0,Unknown,table_p3_ri1_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Residential,SumHCH_ngg,31.0,Unknown,table_p3_ri1_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Forest,SumDDT_ngg,0.0,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Traffic,SumDDT_ngg,149.0,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Industry,SumDDT_ngg,71.0,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Greenbelt,SumDDT_ngg,8.6,Unknown,table_p3_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Commerce,SumDDT_ngg,0.4,Unknown,table_p3_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Agriculture,SumDDT_ngg,25.0,Unknown,table_p3_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70598_c0em00737d,70598_c0em00737d_Orchard,SumDDT_ngg,0.4,Unknown,table_p3_ri2_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
