paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70600_c2em30554b,70600_c2em30554b_HUA,BghiP_ngg,3.4,Unknown,table_p2_ri1_ci16,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_1.2,Nap_ngg,0.0,Unknown,table_p2_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_1.2,Pyr_ngg,0.8,Unknown,table_p2_ri2_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_1.2,Chr_ngg,4.4,Unknown,table_p2_ri2_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_1.2,BaA_ngg,2.1,Unknown,table_p2_ri2_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_1.2,BghiP_ngg,1.1,Unknown,table_p2_ri2_ci16,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Industrial,Acy_ngg,1.2,Unknown,table_p2_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Industrial,Ace_ngg,2.8,Unknown,table_p2_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Industrial,Ant_ngg,0.4,Unknown,table_p2_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Industrial,Phe_ngg,21.0,Unknown,table_p2_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Industrial,Flt_ngg,10.5,Unknown,table_p2_ri5_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Industrial,Pyr_ngg,7.3,Unknown,table_p2_ri5_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Industrial,BaA_ngg,12.3,Unknown,table_p2_ri5_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Industrial,BghiP_ngg,10.3,Unknown,table_p2_ri5_ci16,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_2.2±,Acy_ngg,2.1,Unknown,table_p2_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_2.2±,Ant_ngg,13.7,Unknown,table_p2_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_2.2±,Flt_ngg,9.7,Unknown,table_p2_ri6_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Farmland,Pyr_ngg,7.6,Unknown,table_p2_ri7_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_0.7,Acy_ngg,0.4,Unknown,table_p2_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_0.7,Ant_ngg,0.3,Unknown,table_p2_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_0.7,Phe_ngg,0.8,Unknown,table_p2_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_0.7,Flu_ngg,1.8,Unknown,table_p2_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_0.7,Flt_ngg,0.6,Unknown,table_p2_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_0.7,Pyr_ngg,0.6,Unknown,table_p2_ri8_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_0.7,Chr_ngg,1.9,Unknown,table_p2_ri8_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_0.7,BaA_ngg,1.7,Unknown,table_p2_ri8_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_0.7,BghiP_ngg,0.5,Unknown,table_p2_ri8_ci16,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Traffic,Acy_ngg,2.9,Unknown,table_p2_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S11,Nap_ngg,1.7,Unknown,table_p2_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S11,Ace_ngg,0.4,Unknown,table_p2_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S11,Ant_ngg,0.4,Unknown,table_p2_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S11,Phe_ngg,0.9,Unknown,table_p2_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S11,Flu_ngg,0.4,Unknown,table_p2_ri11_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S11,Flt_ngg,2.0,Unknown,table_p2_ri11_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S11,Pyr_ngg,7.6,Unknown,table_p2_ri11_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S11,Chr_ngg,1.2,Unknown,table_p2_ri11_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S11,BaA_ngg,5.1,Unknown,table_p2_ri11_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S11,BghiP_ngg,4.5,Unknown,table_p2_ri11_ci16,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S11,Sum_PAH_ngg,4.4,Unknown,table_p2_ri11_ci19,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S13,Pyr_ngg,228.0,Unknown,table_p2_ri13_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S13,Chr_ngg,228.0,Unknown,table_p2_ri13_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S13,BaA_ngg,1.0252,Unknown,table_p2_ri13_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_S13,BghiP_ngg,1.2,Unknown,table_p2_ri13_ci16,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Molecular_weight,Nap_ngg,152.0,Unknown,table_p2_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Molecular_weight,Acy_ngg,154.0,Unknown,table_p2_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Molecular_weight,Ace_ngg,178.0,Unknown,table_p2_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Molecular_weight,Ant_ngg,178.0,Unknown,table_p2_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Molecular_weight,Phe_ngg,202.0,Unknown,table_p2_ri14_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Molecular_weight,Flu_ngg,202.0,Unknown,table_p2_ri14_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Molecular_weight,Flt_ngg,202.0,Unknown,table_p2_ri14_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70600_c2em30554b,70600_c2em30554b_Molecular_weight,BghiP_ngg,276.0,Unknown,table_p2_ri14_ci16,soil,agricultural,,phase14_auto; confidence=high; flag=,,
